No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,PEG,P/S,P/B,Price,Volume,EPS (ttm),EPS growth next year,EPS growth next 5 years,Total Debt/Equity,Beta,Institutional Ownership,RSI
293,LH,LH Corp.,Financial,Property & Casualty Insurance,China,29459293.74,73.86,1.45,2.38,1.83,78.61,"78,359",6.81,22.28%,6.01%,1.00,1.20,39.41%,91.00
294,LI,LI Holdings Inc.,Financial,REIT - Office,China,6418768.80,81.81,,3.92,1.15,28.89,"639,278",-1.10,17.28%,11.55%,0.31,1.83,14.18%,69.92
295,LJ,LJ Holdings Inc.,Financial,Investment Brokerage,Chile,31338069.21,23.68,0.83,1.39,1.46,94.97,"100,628",2.10,8.47%,13.33%,0.73,1.16,51.23%,61.89
296,LK,LK Holdings Inc.,Financial,Regional - Mid-Atlantic Banks,Chile,2954156.85,11.79,2.22,1.18,4.79,16.64,"62,301",5.73,-9.71%,15.29%,0.30,0.96,30.18%,64.37
297,LL,LL Holdings Inc.,Financial,Life Insurance,Chile,17662380.80,24.70,,5.36,0.94,21.46,"59,616",5.05,-6.05%,19.18%,0.24,0.49,38.04%,22.05
298,LM,LM Holdings Inc.,Financial,Closed-End Fund - Debt,Switzerland,13177434.50,,1.06,1.28,1.36,199.23,"667,445",4.72,14.28%,8.26%,0.29,1.09,36.43%,64.46
299,LN,LN Corp.,Financial,Asset Management,Switzerland,3378218.50,20.21,2.76,0.57,1.00,89.08,"125,765",1.13,-5.03%,26.80%,0.63,1.52,26.43%,67.72
300,LO,LO Holdings Inc.,Financial,Money Center Banks,USA,2332625.07,39.91,0.94,1.37,4.47,37.54,"66,930",1.44,2.98%,3.93%,0.26,2.08,46.04%,35.03
301,LP,LP Holdings Inc.,Financial,Property & Casualty Insurance,USA,6432403.00,23.58,1.33,3.26,0.85,79.48,"21,471",-0.57,1.52%,-21.73%,0.76,1.41,11.25%,41.85
302,LQ,LQ Holdings Inc.,Financial,REIT - Office,USA,9161930.34,,3.22,1.41,2.48,99.58,"32,939",1.71,-5.15%,24.66%,1.05,0.78,39.46%,71.69
303,LR,LR Holdings Inc.,Financial,Investment Brokerage,USA,902178723.44,25.97,0.47,1.66,3.93,274.79,"42,581",3.25,11.72%,11.55%,0.61,0.76,62.60%,41.16
304,LS,LS Holdings Inc.,Financial,Regional - Mid-Atlantic Banks,USA,7566391.74,36.29,1.61,0.94,2.49,21.37,"13,804",0.50,-0.63%,-1.44%,0.90,1.70,18.87%,48.80
305,LT,LT Holdings Inc.,Financial,Life Insurance,USA,6806465.04,11.79,1.07,1.37,4.25,18.93,"24,322",2.09,9.76%,18.56%,1.37,0.74,68.26%,81.03
306,LU,LU Corp.,Financial,Closed-End Fund - Debt,USA,2747792.51,79.01,1.31,4.30,2.24,16.81,"62,293",0.83,-11.78%,4.31%,0.85,1.68,60.43%,62.04
307,LV,LV Holdings Inc.,Financial,Asset Management,USA,4286737.20,,1.39,7.80,2.92,63.80,"45,261",0.56,21.63%,16.86%,0.17,0.58,62.11%,51.81
308,LW,LW Corp.,Financial,Money Center Banks,USA,5322332.44,7.40,0.73,4.13,4.99,8.71,"57,506",1.61,-24.22%,0.97%,0.41,0.93,29.84%,53.98
309,LX,LX Holdings Inc.,Financial,Property & Casualty Insurance,USA,25788685.06,22.79,1.54,,5.43,49.69,"821,241",3.48,-9.74%,14.83%,1.81,1.03,21.73%,38.41
310,LY,LY Holdings Inc.,Financial,REIT - Office,USA,4282998.54,23.46,0.83,4.07,,19.00,"5,853",1.23,15.06%,15.74%,1.40,1.01,45.22%,43.03
311,LZ,LZ Corp.,Financial,Investment Brokerage,USA,3230894.98,15.13,2.42,2.00,2.06,49.95,"59,286",4.15,16.01%,0.53%,0.20,0.30,49.65%,45.13
312,MA,MA Holdings Inc.,Financial,Regional - Mid-Atlantic Banks,USA,80131452.78,29.05,2.47,0.58,2.21,149.84,"13,977",-0.05,1.54%,-14.78%,0.70,0.93,61.15%,34.57
313,MB,MB Holdings Inc.,Financial,Life Insurance,USA,2278761.03,23.56,2.67,,6.41,22.51,"125,449",-1.22,3.43%,6.23%,0.13,1.50,71.63%,60.58
314,MC,MC Corp.,Financial,Closed-End Fund - Debt,USA,1650245.52,13.51,1.47,3.60,12.18,66.86,"135,132",2.75,-4.69%,20.54%,0.88,0.59,72.74%,39.10
315,MD,MD Holdings Inc.,Financial,Asset Management,USA,39651184.38,,1.85,,3.47,84.49,"10,107",0.17,26.28%,-7.37%,0.27,1.63,21.82%,26.00
316,ME,ME Corp.,Financial,Money Center Banks,USA,46639.49,18.25,1.76,2.23,1.42,10.30,"108,235",4.25,14.44%,26.94%,1.32,0.74,59.13%,45.11
317,MF,MF Holdings Inc.,Financial,Property & Casualty Insurance,USA,7293467.03,19.95,0.71,6.59,3.88,10.22,"52,190",1.10,-5.72%,17.20%,0.33,1.01,33.87%,75.28
318,MG,MG Holdings Inc.,Financial,REIT - Office,USA,10973172.44,19.78,4.35,2.17,3.80,54.47,"48,870",1.97,-10.49%,33.57%,0.40,1.12,72.92%,38.50
319,MH,MH Holdings Inc.,Financial,Investment Brokerage,USA,2541018.91,9.41,1.50,6.49,3.36,31.04,"18,158",6.45,15.20%,27.06%,0.25,0.88,68.02%,58.89
320,MI,MI Holdings Inc.,Financial,Regional - Mid-Atlantic Banks,USA,8627093.23,14.09,2.01,1.27,2.74,61.96,"121,972",-1.52,38.75%,18.44%,0.55,1.54,69.76%,29.29
321,MJ,MJ Holdings Inc.,Financial,Life Insurance,USA,3563351.76,7.13,4.47,,2.79,23.26,"7,833",-1.23,-1.89%,6.13%,0.45,0.90,24.80%,47.60
322,MK,MK Holdings Inc.,Financial,Closed-End Fund - Debt,USA,7524345.81,13.76,1.20,1.11,7.73,34.81,"62,577",3.22,3.18%,1.76%,0.70,0.80,59.78%,38.76
323,ML,ML Corp.,Financial,Asset Management,USA,12766563.30,,1.41,0.72,0.71,70.98,"64,952",2.99,9.49%,8.97%,0.39,1.16,42.12%,54.01
324,MM,MM Corp.,Financial,Money Center Banks,USA,1725070.48,22.37,1.05,1.39,1.68,47.91,"151,594",2.45,10.01%,4.33%,0.29,0.26,18.75%,54.51
325,MN,MN Holdings Inc.,Financial,Property & Casualty Insurance,USA,3994961.51,40.90,1.71,3.85,2.16,80.27,"564,399",6.19,7.36%,5.67%,0.89,1.53,46.53%,54.94
326,MO,MO Corp.,Financial,REIT - Office,USA,7987935.25,39.16,1.71,7.46,4.20,28.11,"172,978",0.80,24.76%,1.12%,0.47,0.58,70.45%,54.73
327,MP,MP Holdings Inc.,Financial,Investment Brokerage,USA,7920014.20,26.41,2.95,2.33,2.22,69.85,"109,401",5.34,17.24%,5.35%,0.63,0.83,44.41%,57.78
328,MQ,MQ Holdings Inc.,Financial,Regional - Mid-Atlantic Banks,USA,394044.12,26.61,,9.33,2.66,12.28,"3,279",3.35,31.34%,-13.36%,0.73,2.01,33.59%,57.96
329,MR,MR Corp.,Financial,Life Insurance,USA,4919023.35,34.58,1.58,4.41,,16.69,"27,530",1.22,8.15%,-4.70%,0.19,1.37,23.13%,29.31
330,MS,MS Holdings Inc.,Financial,Closed-End Fund - Debt,USA,10630684.57,51.29,4.62,1.81,5.34,57.53,"9,961",-0.36,6.23%,-0.01%,0.89,0.88,40.86%,68.63
331,MT,MT Holdings Inc.,Financial,Asset Management,USA,153698.28,9.74,10.75,2.04,7.56,8.71,"139,542",4.01,7.90%,-2.39%,0.30,0.86,23.43%,45.21
332,MU,MU Corp.,Financial,Money Center Banks,USA,1308157.21,16.01,1.54,1.41,,84.17,"76,496",10.21,14.12%,11.01%,0.77,2.19,26.49%,65.34
333,MV,MV Holdings Inc.,Financial,Property & Casualty Insurance,USA,2584592.90,55.84,3.00,3.40,4.52,38.64,"646,172",-1.60,17.84%,13.86%,0.14,1.03,18.02%,42.66
334,MW,MW Holdings Inc.,Financial,REIT - Office,USA,4078697.36,29.79,1.16,1.78,0.83,15.51,"12,806",2.98,-3.41%,-6.24%,1.95,0.77,55.08%,52.23
335,MX,MX Corp.,Financial,Investment Brokerage,USA,8495986.74,16.36,,3.21,1.19,22.35,"62,060",0.35,16.01%,16.56%,0.46,0.61,38.35%,60.30
336,MY,MY Holdings Inc.,Financial,Regional - Mid-Atlantic Banks,USA,3194435.94,39.60,0.83,1.03,12.68,22.08,"103,411",3.78,-2.04%,-12.36%,0.22,1.06,9.47%,50.03
337,MZ,MZ Holdings Inc.,Financial,Life Insurance,USA,85919087.80,28.66,1.55,1.76,4.92,73.47,"12,679",1.40,22.11%,-10.54%,0.35,0.94,73.91%,40.44
338,NA,NA Holdings Inc.,Financial,Closed-End Fund - Debt,USA,15559177.56,95.38,1.91,,2.79,23.38,"1,063,214",3.02,15.52%,3.64%,0.52,1.02,54.07%,79.37
339,NB,NB Corp.,Financial,Asset Management,USA,3804135.93,22.30,1.17,7.28,8.46,104.53,"272,344",5.13,-7.77%,-6.36%,0.73,0.43,29.92%,67.59
340,NC,NC Holdings Inc.,Financial,Money Center Banks,USA,33472686.34,,1.31,2.19,3.11,88.21,"248,188",4.69,4.73%,17.78%,0.95,1.77,47.49%,81.20
341,ND,ND Holdings Inc.,Financial,Property & Casualty Insurance,USA,1783605.64,27.49,6.92,,2.09,30.14,"689,068",6.41,3.35%,13.50%,1.71,1.79,33.65%,66.65
342,NE,NE Corp.,Financial,REIT - Office,USA,10187672.25,9.27,1.03,0.44,1.44,45.60,"318,083",3.87,-13.31%,18.78%,0.37,1.06,24.16%,32.84
343,NF,NF Holdings Inc.,Financial,Investment Brokerage,USA,33183924.66,8.51,1.83,,4.55,42.30,"24,824",7.93,-13.75%,17.33%,0.50,0.70,6.10%,68.47
344,NG,NG Corp.,Financial,Regional - Mid-Atlantic Banks,USA,14604024.95,29.91,1.64,2.80,5.39,108.29,"3,253,077",2.84,-18.41%,10.58%,1.01,0.84,79.75%,37.62
345,NH,NH Holdings Inc.,Financial,Life Insurance,USA,1575209.65,10.15,0.85,4.07,2.33,19.68,"193,782",5.88,-18.18%,-0.09%,0.29,1.68,22.04%,58.64
346,NI,NI Holdings Inc.,Financial,Closed-End Fund - Debt,USA,7013190.51,16.92,1.75,5.63,0.68,28.62,804,2.16,5.42%,16.52%,0.59,0.87,40.94%,59.38
347,NJ,NJ Holdings Inc.,Financial,Asset Management,USA,5550550.25,8.73,1.36,6.43,0.54,38.99,"1,183,927",3.37,-0.46%,-2.12%,0.13,0.89,15.10%,35.36
348,NK,NK Corp.,Financial,Money Center Banks,USA,48857005.07,39.96,1.84,1.57,2.04,21.15,"4,058",6.20,-5.51%,5.44%,0.33,1.19,29.23%,53.38
349,NL,NL Corp.,Financial,Property & Casualty Insurance,USA,43211485.57,7.22,6.30,1.63,2.06,30.73,"790,316",5.16,9.98%,28.41%,1.02,0.72,58.42%,32.71
350,NM,NM Holdings Inc.,Financial,REIT - Office,USA,8513786.02,11.92,0.63,4.77,0.55,40.51,"51,027",2.22,7.29%,11.77%,0.87,0.58,47.31%,61.05
351,NN,NN Holdings Inc.,Financial,Investment Brokerage,USA,3800950.94,12.71,1.61,,1.60,18.87,"128,244",0.18,-5.09%,7.55%,1.27,1.52,41.28%,58.11
352,NO,NO Corp.,Financial,Regional - Mid-Atlantic Banks,USA,1376699.14,32.67,5.36,2.08,3.66,27.80,"94,484",8.75,8.17%,14.25%,1.42,0.98,22.13%,23.92
353,NP,NP Corp.,Financial,Life Insurance,USA,1402784.83,25.05,1.63,3.61,2.03,10.48,"328,249",5.18,31.61%,6.37%,0.52,1.04,52.34%,67.26
354,NQ,NQ Corp.,Financial,Closed-End Fund - Debt,USA,6500808.31,,1.22,1.42,1.27,157.05,"16,810",0.11,23.70%,2.73%,0.38,0.84,22.84%,53.02
355,NR,NR Holdings Inc.,Financial,Asset Management,USA,40344998.27,14.52,6.29,2.67,,27.11,"8,619",-0.14,5.89%,1.49%,0.58,1.13,31.81%,52.92
356,NS,NS Corp.,Financial,Money Center Banks,USA,141717191.90,25.13,2.16,2.14,0.78,208.93,"36,169",5.13,-4.74%,5.04%,0.27,0.68,11.07%,23.12
357,NT,NT Holdings Inc.,Financial,Property & Casualty Insurance,USA,71302415.14,35.38,2.12,4.12,1.05,101.59,"39,250",1.48,16.34%,20.37%,0.43,1.74,13.15%,79.74
358,NU,NU Corp.,Financial,REIT - Office,USA,7472529.35,30.14,2.28,4.22,3.10,42.39,"511,002",1.39,12.40%,14.83%,0.99,1.63,48.42%,39.66
359,NV,NV Corp.,Financial,Investment Brokerage,USA,2310014.03,46.62,,1.05,4.55,50.58,"544,798",1.64,16.82%,-14.66%,0.45,0.28,47.38%,41.21
360,NW,NW Holdings Inc.,Financial,Regional - Mid-Atlantic Banks,USA,21614871.43,11.79,3.34,0.63,3.41,3.91,"865,341",2.53,-11.92%,15.07%,0.29,0.85,40.66%,42.26
361,NX,NX Corp.,Financial,Life Insurance,USA,4295713.49,33.94,2.53,2.02,1.49,40.69,"155,208",5.42,16.32%,-0.12%,0.27,0.57,68.61%,40.50
362,NY,NY Holdings Inc.,Financial,Closed-End Fund - Debt,USA,5398299.10,15.77,1.77,0.96,1.14,28.58,"3,153",1.05,16.70%,20.43%,0.44,0.49,40.68%,51.21
363,NZ,NZ Corp.,Financial,Asset Management,USA,26292245.17,18.12,1.45,3.40,,160.22,"64,617",-2.44,8.32%,-15.05%,0.50,0.88,62.93%,59.81
364,OA,OA Corp.,Financial,Money Center Banks,USA,231131.85,33.30,1.91,1.38,0.56,12.40,"290,558",7.98,41.67%,12.39%,0.40,0.52,42.44%,76.99
365,OB,OB Holdings Inc.,Financial,Property & Casualty Insurance,USA,38733377.35,28.20,3.24,2.05,2.13,43.38,"35,443",4.28,-9.50%,14.09%,0.22,0.46,8.71%,51.54
366,OC,OC Corp.,Financial,REIT - Office,USA,46453160.55,22.14,,3.69,7.15,101.95,"285,335",-2.48,-8.16%,19.41%,0.66,1.64,39.49%,44.65
367,OD,OD Holdings Inc.,Financial,Investment Brokerage,USA,8595833.45,8.54,1.32,3.10,0.78,49.89,"148,482",-1.19,-12.85%,2.87%,0.53,0.15,25.06%,43.45
368,OE,OE Corp.,Financial,Regional - Mid-Atlantic Banks,USA,5873839.04,21.66,4.08,3.50,1.41,28.79,"294,200",3.67,10.38%,0.69%,0.84,0.71,46.00%,72.07
369,OF,OF Holdings Inc.,Financial,Life Insurance,USA,2189737.76,16.63,1.23,,1.07,34.50,"235,333",5.47,7.80%,5.41%,0.13,1.06,46.52%,86.14
370,OG,OG Holdings Inc.,Financial,Closed-End Fund - Debt,USA,262012.19,14.14,1.16,14.79,4.16,19.26,"545,686",-2.74,13.53%,21.80%,0.30,1.48,62.83%,73.62
371,OH,OH Holdings Inc.,Financial,Asset Management,USA,2929155.48,23.11,2.05,5.45,0.76,8.06,"176,317",1.10,-20.74%,-2.99%,0.46,1.57,11.37%,59.99
372,OI,OI Corp.,Financial,Money Center Banks,USA,8995138.14,12.49,1.35,2.19,2.34,19.00,"294,222",-0.28,-2.39%,7.64%,0.04,0.73,15.31%,62.63
373,OJ,OJ Holdings Inc.,Financial,Property & Casualty Insurance,USA,1178726.78,29.66,1.59,,3.79,26.12,"195,871",4.99,-7.84%,19.76%,1.12,1.34,28.09%,41.79
374,OK,OK Corp.,Financial,REIT - Office,USA,3760986.63,26.42,0.81,1.85,2.98,20.67,"123,217",0.11,24.50%,6.71%,0.23,0.97,81.03%,70.54
375,OL,OL Holdings Inc.,Financial,Investment Brokerage,USA,8864171.23,25.15,1.81,0.78,1.92,120.86,"82,598",2.44,-6.78%,29.79%,0.43,0.92,27.30%,37.98
376,OM,OM Corp.,Financial,Regional - Mid-Atlantic Banks,USA,16817020.93,22.66,1.94,1.13,10.83,64.44,"48,697",-0.88,16.50%,26.15%,0.54,2.22,18.00%,76.34
377,ON,ON Corp.,Financial,Life Insurance,USA,22592096.09,30.64,1.23,2.81,4.93,70.06,"77,074",1.45,23.02%,12.40%,0.31,1.03,6.02%,62.54
378,OO,OO Holdings Inc.,Financial,Closed-End Fund - Debt,Canada,3572855.15,10.53,1.49,2.43,0.73,78.20,"32,515",1.89,0.23%,14.71%,1.84,1.79,5.83%,56.47
379,OP,OP Corp.,Financial,Asset Management,Canada,447186.32,25.03,3.23,,,27.14,"1,577,013",0.68,-6.22%,5.96%,0.98,1.10,60.12%,38.00
380,OQ,OQ Corp.,Financial,Money Center Banks,Canada,1209568.60,52.83,4.34,1.18,2.51,26.12,"13,515",0.32,3.43%,32.03%,0.44,1.21,66.85%,65.55
381,OR,OR Holdings Inc.,Financial,Property & Casualty Insurance,Canada,584964.84,29.68,0.97,6.63,1.54,4.48,"38,148",0.76,14.70%,-5.89%,0.36,2.27,9.72%,56.16
382,OS,OS Holdings Inc.,Financial,REIT - Office,Canada,1766464.22,44.62,1.74,2.43,3.27,22.67,"11,201",2.93,22.84%,-3.14%,0.27,0.18,30.61%,54.24
383,OT,OT Holdings Inc.,Financial,Investment Brokerage,Canada,2691278.98,11.85,1.31,11.85,5.43,12.45,"214,191",4.60,8.56%,-13.01%,0.42,0.94,31.73%,56.21
384,OU,OU Holdings Inc.,Financial,Regional - Mid-Atlantic Banks,Canada,10901788.98,18.47,2.58,1.17,2.63,66.32,"22,133",4.35,26.84%,8.08%,1.43,0.96,69.65%,36.23
385,OV,OV Holdings Inc.,Financial,Life Insurance,Canada,32326051.40,27.59,1.02,4.82,4.05,26.27,"30,253",-2.13,21.69%,7.03%,0.21,1.66,74.15%,51.95
386,OW,OW Holdings Inc.,Financial,Closed-End Fund - Debt,UK,945865.25,32.96,1.41,1.05,2.91,21.17,"26,211",3.40,10.57%,10.49%,1.33,0.60,36.43%,44.68
387,OX,OX Holdings Inc.,Financial,Asset Management,UK,2854366.87,,1.09,2.57,1.91,37.50,"69,826",6.27,7.66%,28.03%,1.04,0.73,58.38%,78.99
388,OY,OY Corp.,Financial,Money Center Banks,UK,3677162.79,32.59,2.70,3.51,5.07,33.39,"55,509",2.60,-12.18%,5.15%,0.68,0.96,27.13%,62.57
389,OZ,OZ Holdings Inc.,Financial,Property & Casualty Insurance,UK,2059759.30,3.92,1.66,0.99,,17.84,"55,090",1.07,29.03%,25.52%,0.95,0.90,48.55%,33.59
390,PA,PA Holdings Inc.,Financial,REIT - Office,UK,685713.43,37.01,1.54,2.85,2.69,12.89,"79,668",3.52,0.56%,0.15%,0.29,0.84,57.52%,55.15
391,PB,PB Corp.,Financial,Investment Brokerage,China,24356335.98,23.31,,0.77,4.58,29.34,"120,894",2.51,2.93%,20.42%,0.88,0.77,16.80%,46.32
392,PC,PC Corp.,Financial,Regional - Mid-Atlantic Banks,China,3145354.51,41.14,2.22,0.66,2.21,22.52,"406,014",-2.35,17.25%,8.38%,0.56,0.97,55.07%,68.09
393,PD,PD Holdings Inc.,Financial,Life Insurance,China,5580915.36,16.89,,0.98,0.66,24.52,"17,679",5.94,13.81%,-0.60%,0.14,0.26,18.13%,38.88
394,PE,PE Holdings Inc.,Financial,Closed-End Fund - Debt,China,6307748.60,22.13,1.61,9.08,1.82,31.92,"18,563",1.98,14.55%,12.83%,0.67,0.97,42.58%,62.19
395,PF,PF Holdings Inc.,Financial,Asset Management,Chile,6350120.03,15.56,1.16,0.80,1.77,13.85,"59,970",3.24,0.18%,15.14%,0.38,0.82,23.59%,54.85
396,PG,PG Holdings Inc.,Financial,Money Center Banks,Chile,10170886.23,21.74,8.99,1.63,1.56,68.76,"438,298",3.42,-3.31%,7.26%,1.02,1.19,62.53%,29.27
397,PH,PH Holdings Inc.,Financial,Property & Casualty Insurance,Chile,12318002.04,21.98,1.96,2.28,1.01,75.81,"1,605,677",4.33,2.26%,9.22%,0.59,1.10,63.33%,52.90
398,PI,PI Holdings Inc.,Financial,REIT - Office,Switzerland,5242683.68,43.44,1.14,1.56,1.76,2.14,"103,868",0.12,-1.57%,18.16%,0.68,0.98,35.56%,33.50
399,PJ,PJ Holdings Inc.,Financial,Investment Brokerage,Switzerland,670821.59,29.68,2.36,4.19,1.76,16.52,"262,947",1.02,38.60%,7.29%,0.92,1.05,4.93%,37.34
400,PK,PK Holdings Inc.,Financial,Regional - Mid-Atlantic Banks,USA,1919099.89,12.94,0.67,1.82,2.18,127.68,"27,656",2.27,-7.35%,-10.79%,1.25,0.80,62.72%,57.66
401,PL,PL Holdings Inc.,Financial,Life Insurance,USA,16122218.18,6.50,1.60,,1.20,25.14,"21,807",-2.33,22.81%,4.15%,0.42,0.54,71.07%,62.31
402,PM,PM Holdings Inc.,Financial,Closed-End Fund - Debt,USA,7968666.97,46.85,5.44,2.38,1.62,29.97,"8,865",1.24,41.37%,8.72%,1.77,1.19,23.45%,24.82
403,PN,PN Holdings Inc.,Financial,Asset Management,USA,2993988.62,34.76,,0.81,8.31,114.25,"4,383",3.17,-3.91%,19.50%,0.94,0.97,57.63%,62.33
404,PO,PO Corp.,Financial,Money Center Banks,USA,13913991.03,54.26,,2.24,1.82,147.42,"50,834",4.98,19.03%,15.07%,0.93,1.00,48.70%,62.13
405,PP,PP Corp.,Financial,Property & Casualty Insurance,USA,6406241.53,,0.81,0.55,2.98,94.49,"33,189",4.27,25.98%,-6.58%,0.37,1.24,62.43%,54.96
406,PQ,PQ Holdings Inc.,Financial,REIT - Office,USA,1367797.57,25.34,2.56,0.98,3.06,62.12,"137,502",4.19,-8.31%,-7.61%,0.95,1.06,45.60%,65.90
407,PR,PR Holdings Inc.,Financial,Investment Brokerage,USA,27823044.73,53.93,2.25,1.46,1.06,41.76,"101,459",-0.28,20.54%,20.18%,0.62,1.35,31.71%,54.55
408,PS,PS Holdings Inc.,Financial,Regional - Mid-Atlantic Banks,USA,5061446.05,,0.45,7.04,1.13,60.74,"5,717",10.53,19.44%,-1.19%,0.35,0.77,40.97%,49.14
409,PT,PT Holdings Inc.,Financial,Life Insurance,USA,6396115.98,14.43,,1.41,3.89,132.01,"95,158",2.90,10.73%,9.73%,0.79,0.69,76.57%,49.07
410,PU,PU Corp.,Financial,Closed-End Fund - Debt,USA,1490596.42,74.17,1.96,,2.86,62.59,"57,029",1.98,18.90%,-2.34%,0.57,0.34,34.93%,33.86
411,PV,PV Corp.,Financial,Asset Management,USA,2796793.46,30.66,4.17,0.94,1.66,106.85,"1,064,231",3.93,-0.08%,11.68%,0.19,2.05,16.67%,67.16
412,PW,PW Holdings Inc.,Financial,Money Center Banks,USA,11206699.06,33.36,,3.13,1.45,168.24,"872,771",6.28,17.59%,3.03%,1.27,1.85,71.64%,43.71
413,PX,PX Holdings Inc.,Financial,Property & Casualty Insurance,USA,879619.80,39.16,1.09,1.45,3.53,23.67,"6,357",1.02,11.24%,-0.20%,1.36,0.76,58.04%,49.51
414,PY,PY Holdings Inc.,Financial,REIT - Office,USA,2406249.42,24.72,1.54,1.54,5.51,29.80,"26,166",0.51,15.27%,19.26%,1.06,1.13,16.29%,57.46
415,PZ,PZ Corp.,Financial,Investment Brokerage,USA,7333558.21,23.01,3.65,1.62,1.96,38.17,"268,128",5.42,10.54%,6.12%,2.47,1.01,66.41%,46.50
416,QA,QA Corp.,Financial,Regional - Mid-Atlantic Banks,USA,1765029.66,22.22,1.21,4.11,7.57,6.50,"915,407",3.94,-2.56%,6.60%,0.30,1.06,23.27%,69.63
417,QB,QB Holdings Inc.,Financial,Life Insurance,USA,7936711.28,61.33,0.50,1.35,2.09,31.42,"2,731,510",2.09,5.23%,5.20%,1.15,0.57,49.72%,47.64
418,QC,QC Corp.,Financial,Closed-End Fund - Debt,USA,81039741.87,41.13,,0.38,5.06,60.19,"38,101",1.48,42.49%,8.80%,1.07,0.61,7.12%,59.65
419,QD,QD Corp.,Financial,Asset Management,USA,544431.28,18.25,3.20,3.46,1.54,10.12,"703,527",7.25,24.05%,-2.24%,0.24,1.62,26.36%,61.90
420,QE,QE Holdings Inc.,Financial,Money Center Banks,USA,46303598.88,24.35,0.62,16.65,4.02,89.58,"179,185",1.45,1.79%,-3.63%,1.27,1.43,50.72%,76.90
421,QF,QF Holdings Inc.,Financial,Property & Casualty Insurance,USA,10168561.53,12.82,1.19,2.88,4.03,45.36,"247,750",1.30,20.63%,12.28%,0.75,1.24,10.58%,37.33
422,QG,QG Holdings Inc.,Financial,REIT - Office,USA,2880363.08,47.00,2.06,2.34,3.43,16.39,"181,235",1.24,8.98%,11.72%,0.07,0.54,16.85%,63.88
423,QH,QH Holdings Inc.,Financial,Investment Brokerage,USA,12982887.61,57.42,2.68,,3.13,58.44,"107,852",-1.34,3.40%,22.18%,0.82,1.34,29.00%,63.49
424,QI,QI Holdings Inc.,Financial,Regional - Mid-Atlantic Banks,USA,8689653.59,,0.64,2.60,2.06,34.26,"1,387,289",4.73,-1.09%,5.62%,0.26,0.36,50.03%,27.67
425,QJ,QJ Corp.,Financial,Life Insurance,USA,13093030.68,20.83,1.53,0.56,1.96,42.11,"13,869",4.38,2.74%,2.78%,1.34,0.83,73.19%,56.01
426,QK,QK Corp.,Financial,Closed-End Fund - Debt,USA,2787555.15,17.13,4.78,2.50,,36.21,"983,576",1.14,18.86%,15.66%,0.25,0.15,37.88%,61.18
427,QL,QL Corp.,Financial,Asset Management,USA,209903.78,31.97,1.18,,1.82,19.65,"128,057",-1.31,-17.42%,4.35%,1.03,1.62,44.38%,45.13
428,QM,QM Corp.,Financial,Money Center Banks,USA,7534329.43,21.64,2.02,2.35,3.03,19.83,"112,575",2.91,32.69%,19.49%,0.23,1.48,37.58%,38.81
429,QN,QN Holdings Inc.,Financial,Property & Casualty Insurance,USA,280732.31,32.45,1.78,1.50,1.00,25.86,"7,106",0.14,18.07%,9.23%,0.45,1.25,30.06%,30.15
430,QO,QO Corp.,Financial,REIT - Office,USA,1012407.79,15.28,1.63,3.84,7.30,33.94,"49,699",0.33,-4.40%,12.75%,0.24,1.26,69.12%,41.31
431,QP,QP Holdings Inc.,Financial,Investment Brokerage,USA,3500898.77,15.40,0.83,0.83,2.69,58.12,"195,319",6.08,19.58%,7.17%,0.28,0.63,75.59%,56.33
432,QQ,QQ Holdings Inc.,Financial,Regional - Mid-Atlantic Banks,USA,6570440.69,12.86,1.98,1.64,1.46,26.91,"771,923",-0.41,-3.48%,7.55%,0.67,0.98,36.16%,75.05
433,QR,QR Corp.,Financial,Life Insurance,USA,367638.48,20.55,,,2.77,16.81,"162,817",-2.03,14.12%,1.74%,0.06,1.41,30.10%,53.84
434,QS,QS Holdings Inc.,Financial,Closed-End Fund - Debt,USA,5210415.83,20.31,,1.10,2.18,52.52,"277,676",3.46,15.84%,12.61%,0.24,0.63,54.81%,30.23
435,QT,QT Corp.,Financial,Asset Management,USA,20482175.52,,1.53,1.78,1.98,53.67,"691,306",5.64,9.91%,12.53%,1.49,1.26,66.83%,44.12
436,QU,QU Holdings Inc.,Financial,Money Center Banks,USA,9780096.15,20.84,2.96,1.88,7.09,23.56,"28,029",7.52,20.49%,8.30%,0.15,1.04,33.59%,37.66
437,QV,QV Holdings Inc.,Financial,Property & Casualty Insurance,USA,56831167.06,39.70,0.90,2.44,4.65,67.47,"54,187",1.99,10.78%,39.57%,0.28,0.94,26.83%,58.56
438,QW,QW Holdings Inc.,Financial,REIT - Office,USA,5027147.82,12.45,3.05,2.27,3.77,23.36,"99,048",2.36,4.65%,15.38%,0.24,1.04,75.42%,95.00
439,QX,QX Holdings Inc.,Financial,Investment Brokerage,USA,38291822.23,8.06,1.12,0.31,,51.42,"27,515",2.24,10.38%,9.61%,0.49,0.65,51.90%,54.97
440,QY,QY Holdings Inc.,Financial,Regional - Mid-Atlantic Banks,USA,508628.59,,1.12,3.03,1.89,15.58,"45,702",-0.47,16.03%,26.41%,0.91,1.47,18.73%,22.75
