country,region,year,quarter,income_group,primary_export_sector,currency_regime,imf_program_active,population,gdp_per_capita_usd,exports_pct_gdp,imports_pct_gdp,tourism_arrivals_millions,tourism_revenue_pct_gdp,fdi_inflow_pct_gdp,inflation_rate_pct,unemployment_rate_pct,central_bank_rate_pct,government_debt_pct_gdp,fiscal_balance_pct_gdp,trade_balance_pct_gdp,commodity_export_price_index,exchange_rate_volatility_index,education_spending_pct_gdp,political_stability_index,natural_disaster_event,disaster_damage_pct_gdp,imf_next_year_growth_forecast_pct,gdp_growth_rate_pct
Panama,Central America,2017,Q4,High income,Trade & Logistics,Pegged (Dollarized),No,"4,226,058 people","$15,534",30.4%,37.3%,1.44 million visitors,5.8%,2.9%,5.0%,6.9%,5.6%,57.9%,(4.3%),(6.3%),106.8,9.5,3.6%,0.4,No,..,6.1%,5.5%
 Paraguay ,South America,2014,Q4,Upper middle income,Agriculture & Agro-exports,Managed Float,No,"6,859,454 people","$5,574",41.9%,42.0%,0.05 million visitors,1.7%,..,5.6%,8.8%,8.7%,30.9%,(1.7%),(0.8%),115.7,47.0,..,-0.66,No,..,4.0%,3.1%
EL SALVADOR,Central America,2009,Q2,Lower middle income,Manufacturing & Trade,Pegged (Dollarized),No,"6,379,099 people","$4,369",35.1%,39.1%,0.05 million visitors,3.3%,(1.4%),6.6%,8.1%,8.1%,77.0%,(2.7%),(3.8%),97.5,30.8,4.5%,-0.72,No,..,2.9%,1.1%
BOLIVIA,South America,2021,Q3,Lower middle income,Mining & Extractives,Managed Float,No,"11,541,408 people","$3,299",37.7%,36.1%,1.32 million visitors,0.5%,2.7%,8.2%,10.5%,9.4%,53.2%,(3.4%),2.4%,76.9,27.0,3.9%,-0.8,No,..,(0.6%),0.4%
Costa Rica,Central America,2003,Q2,Upper middle income,Tourism & Services,Managed Float,No,"4,932,792 people","$12,531",41.1%,41.4%,3.35 million visitors,13.2%,0.8%,1.0%,6.4%,5.2%,47.1%,0.7%,(1.6%),100.9,29.1,5.1%,0.8,No,..,8.4%,6.8%
jamaica,Caribbean,2016,Q4,Upper middle income,Tourism & Services,Floating,No,"2,821,702 people","$6,663",33.4%,39.1%,2.97 million visitors,5.4%,0.4%,6.7%,7.3%,9.7%,99.3%,(3.3%),(4.3%),114.3,31.2,3.4%,-0.33,No,..,(0.5%),(0.5%)
Trinidad and Tobago,Caribbean,2008,Q3,High income,Mining & Extractives,Floating,No,"1,311,609 people","$15,924",43.0%,52.9%,1.16 million visitors,0.5%,5.8%,6.2%,8.2%,7.6%,62.7%,(2.0%),(10.1%),93.4,30.7,4.5%,1.1,No,..,1.0%,(0.2%)
 Bolivia ,South America,2020,Q1,Lower middle income,Mining & Extractives,Managed Float,No,"11,442,427 people","$4,950",39.3%,38.7%,0.40 million visitors,3.2%,1.7%,4.7%,4.8%,3.6%,51.6%,(2.2%),(0.4%),80.6,36.1,4.6%,-0.79,No,..,2.0%,3.0%
Belize,Central America,2006,Q1,Upper middle income,Tourism & Services,Pegged (Dollarized),Yes,"320,643 people","$5,705",38.7%,41.3%,3.30 million visitors,8.6%,..,4.5%,8.9%,6.8%,88.1%,(0.4%),(3.5%),87.8,6.1,4.7%,0.3,No,..,2.4%,0.8%
belize,Central America,2011,Q4,Upper middle income,Tourism & Services,Pegged (Dollarized),No,"319,689 people","$4,651",32.3%,35.6%,2.06 million visitors,9.6%,7.8%,3.9%,11.2%,7.0%,89.9%,(4.9%),(2.9%),87.1,10.3,3.6%,0.49,No,..,2.4%,1.1%
dominican republic,Caribbean,2020,Q2,Upper middle income,Tourism & Services,Managed Float,No,"10,818,284 people","$8,857",32.4%,41.5%,1.34 million visitors,4.8%,6.1%,3.9%,9.9%,7.3%,49.6%,(1.1%),(8.4%),93.3,34.4,6.2%,0.3,No,..,4.8%,4.5%
Costa Rica,Central America,2015,Q3,Upper middle income,Tourism & Services,Managed Float,No,"5,003,488 people","$11,891",28.8%,37.0%,3.46 million visitors,9.8%,(2.0%),4.1%,7.8%,5.7%,52.5%,(3.5%),(10.0%),90.7,23.2,..,1.22,No,..,5.5%,4.7%
 Ecuador ,South America,2013,Q1,Upper middle income,Mining & Extractives,Pegged (Dollarized),Yes,"17,560,764 people","$6,268",45.4%,53.0%,0.31 million visitors,2.6%,4.9%,2.3%,5.8%,5.7%,66.5%,(3.3%),(6.5%),92.7,20.3,5.4%,-0.52,No,..,3.8%,4.0%
EL SALVADOR,Central America,2019,Q2,Lower middle income,Manufacturing & Trade,Pegged (Dollarized),No,"6,300,894 people","$3,893",38.1%,37.4%,1.52 million visitors,1.2%,5.1%,2.4%,6.7%,2.7%,81.6%,(2.4%),0.2%,98.4,14.1,4.5%,-1.12,No,..,3.5%,0.8%
NICARAGUA,Central America,2020,Q2,Lower middle income,Agriculture & Agro-exports,Managed Float,No,"6,513,459 people","$2,312",37.8%,43.2%,0.48 million visitors,3.8%,0.5%,6.0%,3.9%,7.0%,39.6%,(3.4%),(7.1%),100.2,24.4,1.7%,-0.67,No,..,2.0%,4.3%
panama,Central America,2008,Q1,High income,Trade & Logistics,Pegged (Dollarized),No,"4,236,396 people","$15,784",33.1%,43.8%,1.92 million visitors,3.8%,3.0%,4.9%,11.3%,7.0%,51.2%,(3.2%),(11.8%),104.2,17.4,..,0.51,No,..,5.2%,4.6%
Dominican  Republic,Caribbean,2011,Q1,Upper middle income,Tourism & Services,Managed Float,No,"10,722,462 people","$8,175",33.4%,39.4%,2.24 million visitors,6.7%,2.8%,2.1%,10.1%,4.6%,47.6%,(4.0%),(6.8%),95.0,48.1,5.2%,-0.05,No,..,3.6%,3.9%
El  Salvador,Central America,2021,Q2,Lower middle income,Manufacturing & Trade,Pegged (Dollarized),No,"6,302,780 people","$4,313",34.6%,47.3%,1.39 million visitors,1.9%,1.9%,6.4%,5.7%,9.4%,82.9%,(5.3%),(13.4%),96.9,14.6,5.2%,-0.6,No,..,(1.0%),(0.2%)
Ecuador,South America,2010,Q3,Upper middle income,Mining & Extractives,Pegged (Dollarized),Yes,"17,419,274 people","$5,792",39.3%,45.3%,1.05 million visitors,1.2%,2.7%,2.9%,8.9%,6.3%,66.7%,(3.7%),(7.4%),92.1,3.1,5.4%,-0.79,No,..,0.7%,(1.0%)
 Bolivia ,South America,2017,Q4,Lower middle income,Mining & Extractives,Managed Float,No,"11,474,800 people","$4,444",39.1%,48.2%,0.53 million visitors,1.7%,(0.8%),9.4%,7.6%,9.4%,47.2%,(4.1%),(10.2%),87.0,32.8,3.9%,-0.26,No,..,1.7%,2.1%
bolivia,South America,2013,Q1,Lower middle income,Mining & Extractives,Managed Float,No,"11,511,184 people","$3,321",39.5%,45.2%,0.05 million visitors,0.5%,4.8%,8.3%,5.9%,11.0%,48.8%,(2.3%),(4.3%),88.6,33.9,5.5%,-0.2,No,..,0.8%,1.0%
Paraguay,South America,2018,Q3,Upper middle income,Agriculture & Agro-exports,Managed Float,No,"6,866,154 people","$5,680",41.3%,41.5%,0.05 million visitors,2.3%,(0.3%),3.5%,4.1%,7.4%,29.4%,(5.2%),0.5%,125.0,41.7,4.3%,0.16,No,..,3.3%,2.2%
GUYANA,South America,2014,Q2,High income,Mining & Extractives,Floating,No,"806,168 people","$14,395",37.0%,41.5%,0.05 million visitors,3.7%,4.1%,4.9%,4.4%,5.9%,38.0%,(2.7%),(2.9%),107.0,43.0,1.5%,-0.57,No,..,13.2%,12.4%
trinidad and tobago,Caribbean,2016,Q3,High income,Mining & Extractives,Floating,No,"1,458,413 people","$16,940",28.7%,36.1%,0.05 million visitors,0.5%,1.8%,6.1%,8.2%,6.6%,64.2%,(3.7%),(6.6%),90.1,33.0,4.1%,0.19,No,..,1.0%,0.7%
 Guatemala ,Central America,2019,Q3,Upper middle income,Agriculture & Agro-exports,Floating,No,"16,535,466 people","$4,823",36.6%,36.9%,0.05 million visitors,0.5%,2.6%,5.7%,9.8%,7.1%,47.3%,(6.8%),(0.7%),105.2,31.8,2.9%,-0.1,No,..,2.3%,3.5%
Uruguay,South America,2014,Q2,High income,Agriculture & Agro-exports,Floating,No,"3,407,361 people","$17,682",40.7%,47.8%,1.02 million visitors,1.5%,5.4%,4.1%,12.3%,6.0%,74.6%,(4.5%),(8.7%),90.1,53.4,3.6%,1.7,No,..,2.4%,2.3%
EL SALVADOR,Central America,2020,Q4,Lower middle income,Manufacturing & Trade,Pegged (Dollarized),No,"6,307,824 people","$4,823",34.8%,40.9%,0.75 million visitors,2.6%,2.4%,7.1%,7.0%,8.9%,80.8%,(2.0%),(6.2%),97.7,16.4,4.6%,-1.18,No,..,(1.2%),0.2%
 Trinidad and Tobago ,Caribbean,2019,Q2,High income,Mining & Extractives,Floating,No,"1,302,311 people","$15,526",36.6%,43.4%,0.12 million visitors,0.5%,(2.9%),9.0%,7.4%,12.2%,67.5%,(4.4%),(7.7%),97.2,32.9,4.8%,0.75,No,..,3.9%,1.0%
 Nicaragua ,Central America,2003,Q2,Lower middle income,Agriculture & Agro-exports,Managed Float,No,"6,505,660 people",$988,44.5%,53.3%,0.63 million visitors,3.7%,6.1%,4.0%,8.4%,4.3%,35.3%,(4.6%),(10.1%),93.0,51.6,4.0%,-1.65,No,..,2.0%,0.6%
URUGUAY,South America,2012,Q4,High income,Agriculture & Agro-exports,Floating,Yes,"3,416,089 people","$15,692",31.0%,37.8%,0.45 million visitors,2.0%,2.9%,4.6%,9.9%,5.2%,71.1%,(1.5%),(7.1%),86.6,34.4,5.8%,0.67,No,..,2.5%,1.5%
honduras,Central America,2015,Q2,Lower middle income,Agriculture & Agro-exports,Floating,No,"9,533,521 people","$1,110",28.5%,33.0%,1.35 million visitors,0.6%,1.4%,7.2%,6.9%,10.7%,53.7%,(5.1%),(3.3%),88.6,23.1,3.4%,-0.56,No,..,0.7%,0.2%
DOMINICAN REPUBLIC,Caribbean,2022,Q4,Upper middle income,Tourism & Services,Managed Float,No,"10,743,054 people","$8,809",38.2%,41.7%,2.13 million visitors,5.2%,3.2%,5.5%,9.9%,7.4%,51.0%,0.9%,(0.4%),94.5,21.4,7.1%,-0.81,No,..,1.9%,3.3%
Belize,Central America,2005,Q1,Upper middle income,Tourism & Services,Pegged (Dollarized),No,"341,470 people","$6,224",36.2%,47.3%,2.42 million visitors,6.4%,(1.3%),5.4%,9.7%,7.2%,85.5%,(4.6%),(11.6%),88.0,10.4,4.6%,-0.07,No,..,1.2%,2.2%
Nicaragua,Central America,2008,Q1,Lower middle income,Agriculture & Agro-exports,Managed Float,No,"6,528,012 people","$1,948",45.9%,45.2%,0.93 million visitors,1.5%,6.8%,4.1%,6.3%,5.5%,39.0%,(3.9%),(0.9%),95.8,32.1,4.8%,-0.96,No,..,3.5%,3.6%
Honduras,Central America,2013,Q2,Lower middle income,Agriculture & Agro-exports,Floating,No,"9,497,332 people","$3,671",42.1%,48.7%,0.09 million visitors,2.6%,8.1%,8.6%,8.3%,9.9%,51.7%,0.6%,(8.0%),96.9,43.9,5.1%,-0.44,No,..,2.7%,2.6%
El  Salvador,Central America,2013,Q3,Lower middle income,Manufacturing & Trade,Pegged (Dollarized),No,"6,162,895 people","$4,130",26.8%,27.0%,0.82 million visitors,1.9%,(2.1%),4.4%,7.3%,8.0%,83.4%,(2.7%),(1.5%),91.2,2.5,5.6%,-0.43,No,..,1.3%,1.2%
 El Salvador ,Central America,2018,Q4,Lower middle income,Manufacturing & Trade,Pegged (Dollarized),No,"6,246,546 people","$3,528",34.8%,40.0%,1.16 million visitors,0.5%,(0.5%),2.0%,6.8%,3.7%,80.7%,(2.4%),(5.3%),94.5,7.1,4.7%,-0.67,Yes,4.1%,(1.2%),(0.6%)
Nicaragua,Central America,2007,Q1,Lower middle income,Agriculture & Agro-exports,Managed Float,No,"6,513,169 people","$2,423",43.1%,63.2%,0.56 million visitors,0.5%,3.8%,3.9%,4.1%,5.9%,38.1%,(3.5%),(17.5%),95.4,44.3,4.1%,-1.54,No,..,1.2%,1.9%
Ecuador,South America,2023,Q1,Upper middle income,Mining & Extractives,Pegged (Dollarized),No,"17,601,703 people","$6,211",33.3%,39.3%,1.56 million visitors,0.5%,4.2%,5.3%,10.3%,7.7%,65.3%,(3.2%),(4.4%),78.1,22.9,4.0%,-0.63,No,..,(3.9%),(0.6%)
Guyana,South America,2019,Q2,High income,Mining & Extractives,Floating,No,"797,427 people","$14,031",36.4%,42.0%,0.66 million visitors,1.7%,5.2%,4.6%,6.1%,6.7%,36.5%,(4.2%),(5.0%),107.1,59.3,6.1%,-0.31,No,..,13.5%,11.4%
Panama,Central America,2013,Q4,High income,Trade & Logistics,Pegged (Dollarized),No,"4,284,084 people","$15,534",38.2%,53.5%,1.76 million visitors,2.9%,3.2%,3.2%,8.8%,4.5%,54.9%,(0.6%),(14.2%),107.8,19.8,4.7%,0.43,Yes,20.0%,(4.7%),(6.4%)
URUGUAY,South America,2004,Q2,High income,Agriculture & Agro-exports,Floating,No,"3,439,840 people","$17,365",27.0%,31.2%,1.18 million visitors,0.5%,(0.3%),5.0%,12.1%,6.9%,59.4%,(3.3%),(3.3%),103.0,43.3,5.4%,1.11,No,..,1.8%,1.4%
 Costa Rica ,Central America,2019,Q3,Upper middle income,Tourism & Services,Managed Float,No,"5,023,479 people","$11,432",39.8%,54.2%,4.24 million visitors,9.8%,6.0%,4.9%,6.1%,6.9%,54.3%,(4.2%),(12.6%),87.4,27.4,2.2%,0.91,No,..,4.4%,4.2%
Guatemala,Central America,2023,Q4,Upper middle income,Agriculture & Agro-exports,Floating,No,"16,483,726 people","$5,237",41.4%,37.5%,1.04 million visitors,0.5%,6.3%,6.6%,11.6%,8.8%,46.2%,(5.1%),4.7%,87.7,23.1,4.5%,-0.55,No,..,3.0%,2.8%
bolivia,South America,2023,Q4,Lower middle income,Mining & Extractives,Managed Float,No,"11,467,599 people","$3,693",41.3%,38.6%,0.38 million visitors,1.8%,2.5%,3.7%,6.6%,5.0%,49.1%,(3.6%),3.4%,69.1,24.6,5.8%,-0.21,No,..,3.1%,0.7%
Ecuador,South America,2019,Q3,Upper middle income,Mining & Extractives,Pegged (Dollarized),No,"17,455,148 people","$6,558",27.1%,28.1%,1.37 million visitors,2.5%,0.5%,3.9%,14.6%,5.5%,62.7%,(1.1%),(1.0%),81.8,12.1,5.8%,-0.7,No,..,2.3%,2.0%
Jamaica,Caribbean,2015,Q1,Upper middle income,Tourism & Services,Floating,No,"2,779,368 people","$5,750",28.5%,29.1%,2.01 million visitors,8.6%,2.2%,3.0%,10.1%,2.2%,97.5%,(6.2%),0.2%,117.2,32.6,3.7%,-0.46,Yes,6.0%,(3.8%),(3.7%)
TRINIDAD AND TOBAGO,Caribbean,2007,Q4,High income,Mining & Extractives,Floating,No,"1,358,986 people","$16,976",39.2%,61.3%,0.80 million visitors,3.0%,3.3%,7.2%,7.7%,9.7%,62.7%,(3.3%),(20.7%),89.0,27.7,4.8%,0.31,No,..,0.8%,0.4%
Nicaragua,Central America,2005,Q3,Lower middle income,Agriculture & Agro-exports,Managed Float,No,"6,440,112 people","$1,600",43.1%,40.2%,1.39 million visitors,0.8%,6.4%,6.5%,6.4%,8.6%,37.0%,(0.4%),2.6%,99.2,26.8,6.8%,-0.36,No,..,3.5%,2.6%
Guatemala,Central America,2017,Q4,Upper middle income,Agriculture & Agro-exports,Floating,No,"16,587,097 people","$4,649",39.5%,37.3%,1.33 million visitors,0.5%,1.7%,4.8%,3.8%,5.7%,46.7%,(2.8%),1.9%,115.0,28.8,5.6%,-1.01,No,..,5.4%,3.3%
Guyana,South America,2004,Q4,High income,Mining & Extractives,Floating,No,"774,987 people","$14,884",39.9%,46.0%,0.19 million visitors,0.5%,3.5%,11.0%,10.0%,13.0%,34.5%,(2.0%),(5.5%),106.1,37.7,3.7%,-0.72,No,..,8.5%,7.6%
BOLIVIA,South America,2006,Q4,Lower middle income,Mining & Extractives,Managed Float,No,"11,535,291 people","$3,752",48.0%,64.8%,0.05 million visitors,3.1%,6.5%,9.2%,8.4%,11.9%,40.4%,(3.1%),(15.8%),96.5,43.7,4.2%,-0.1,No,..,3.5%,2.5%
Nicaragua,Central America,2016,Q4,Lower middle income,Agriculture & Agro-exports,Managed Float,No,"6,423,957 people","$2,073",35.3%,37.6%,0.54 million visitors,2.5%,2.3%,3.8%,10.1%,5.2%,37.7%,(0.1%),(4.1%),104.5,36.4,4.8%,-0.71,No,..,0.3%,1.3%
Honduras,Central America,2013,Q1,Lower middle income,Agriculture & Agro-exports,Floating,No,"9,476,466 people","$3,165",34.9%,45.9%,1.05 million visitors,0.5%,1.7%,4.0%,7.3%,5.1%,51.7%,(2.4%),(9.9%),96.9,17.3,5.7%,-1.11,No,..,1.9%,3.1%
 Honduras ,Central America,2011,Q1,Lower middle income,Agriculture & Agro-exports,Floating,No,"9,522,651 people","$2,845",38.0%,52.4%,2.08 million visitors,2.1%,3.9%,9.1%,10.1%,12.0%,51.5%,(3.8%),(15.2%),93.1,32.1,7.0%,-1.29,No,..,3.5%,0.6%
 Jamaica ,Caribbean,2006,Q4,Upper middle income,Tourism & Services,Floating,No,"2,767,092 people","$6,381",37.2%,36.3%,3.84 million visitors,8.2%,2.8%,2.2%,9.8%,4.0%,96.6%,(4.1%),1.3%,111.8,32.9,4.5%,-0.59,No,..,0.8%,1.0%
GUATEMALA,Central America,2008,Q4,Upper middle income,Agriculture & Agro-exports,Floating,No,"16,545,331 people","$4,479",36.4%,46.0%,0.39 million visitors,0.5%,5.1%,1.4%,5.1%,4.2%,36.8%,(3.1%),(8.8%),111.1,31.2,3.7%,-0.36,No,..,2.4%,2.8%
Trinidad and Tobago,Caribbean,2011,Q4,High income,Mining & Extractives,Floating,Yes,"1,344,770 people","$16,422",41.6%,53.7%,1.32 million visitors,0.5%,1.4%,11.3%,8.9%,12.6%,62.8%,(0.3%),(11.1%),92.1,11.6,4.7%,-0.01,No,..,1.0%,0.6%
Guatemala,Central America,2006,Q4,Upper middle income,Agriculture & Agro-exports,Floating,No,"16,540,613 people","$4,822",32.2%,37.3%,0.80 million visitors,2.8%,4.6%,6.2%,8.7%,9.1%,35.7%,0.4%,(5.0%),114.8,42.0,4.1%,0.15,No,..,0.9%,2.2%
El  Salvador,Central America,2003,Q2,Lower middle income,Manufacturing & Trade,Pegged (Dollarized),No,"6,319,746 people","$4,619",36.5%,29.9%,0.05 million visitors,1.0%,(0.5%),4.4%,7.0%,7.4%,68.8%,(3.8%),5.8%,105.1,11.5,3.1%,-0.86,No,..,0.5%,0.7%
belize,Central America,2013,Q4,Upper middle income,Tourism & Services,Pegged (Dollarized),No,"383,741 people","$5,089",44.3%,48.5%,1.49 million visitors,5.8%,2.0%,6.2%,8.4%,9.3%,89.4%,(6.6%),(4.7%),84.9,20.4,3.6%,-0.04,Yes,4.1%,(2.5%),(1.5%)
nicaragua,Central America,2005,Q2,Lower middle income,Agriculture & Agro-exports,Managed Float,No,"6,539,318 people","$1,639",41.2%,54.3%,0.05 million visitors,0.5%,5.3%,7.7%,5.4%,9.6%,37.0%,(3.4%),(11.4%),99.2,19.0,4.2%,-0.82,No,..,0.5%,2.5%
 Jamaica ,Caribbean,2012,Q1,Upper middle income,Tourism & Services,Floating,No,"2,848,964 people","$6,375",31.8%,36.8%,2.93 million visitors,5.6%,4.6%,1.5%,7.0%,1.4%,93.6%,(3.7%),(5.1%),112.1,35.6,..,-0.73,No,..,1.6%,2.2%
 Guyana ,South America,2005,Q1,High income,Mining & Extractives,Floating,No,"816,576 people","$13,901",44.2%,58.9%,..,0.5%,2.1%,10.4%,3.1%,11.7%,34.7%,(4.2%),(16.2%),105.5,45.3,4.0%,-0.3,No,..,11.2%,11.9%
Guyana,South America,2017,Q1,High income,Mining & Extractives,Floating,No,"830,805 people","$13,858",36.6%,42.1%,1.15 million visitors,0.5%,5.4%,3.6%,4.2%,6.2%,39.0%,(6.6%),(6.6%),113.6,21.0,4.4%,-0.41,No,..,12.0%,11.7%
Belize,Central America,2004,Q3,Upper middle income,Tourism & Services,Pegged (Dollarized),No,"462,475 people","$4,674",42.1%,57.1%,2.37 million visitors,6.6%,5.9%,3.3%,4.7%,5.5%,86.2%,(3.7%),(15.8%),86.2,12.2,4.1%,-0.45,Yes,0.5%,(1.7%),0.6%
 Panama ,Central America,2020,Q4,High income,Trade & Logistics,Pegged (Dollarized),Yes,"4,217,375 people","$14,365",33.5%,30.3%,1.19 million visitors,4.5%,4.9%,5.5%,10.8%,6.4%,61.3%,(1.7%),3.4%,101.8,23.7,4.1%,0.33,No,..,3.8%,4.0%
Costa  Rica,Central America,2021,Q2,Upper middle income,Tourism & Services,Managed Float,No,"5,032,755 people","$11,977",39.7%,49.9%,3.05 million visitors,9.5%,1.0%,4.7%,8.8%,4.5%,53.3%,(0.4%),(11.8%),88.7,43.9,4.6%,0.64,No,..,4.0%,4.9%
Honduras,Central America,2010,Q4,Lower middle income,Agriculture & Agro-exports,Floating,No,"9,527,783 people","$2,300",33.6%,27.7%,1.04 million visitors,0.8%,2.7%,2.7%,5.8%,3.6%,52.3%,(3.1%),5.1%,95.1,49.2,2.8%,-0.8,No,..,(0.5%),0.9%
 Dominican Republic ,Caribbean,2011,Q4,Upper middle income,Tourism & Services,Managed Float,No,"10,735,995 people","$9,039",25.0%,27.0%,1.70 million visitors,5.2%,2.1%,0.9%,5.3%,5.5%,47.6%,(4.1%),(0.3%),95.0,7.4,4.5%,-0.12,No,..,2.6%,4.0%
Ecuador,South America,2009,Q2,Upper middle income,Mining & Extractives,Pegged (Dollarized),No,"17,446,038 people","$5,363",32.1%,37.5%,0.54 million visitors,1.0%,2.0%,6.2%,4.8%,7.5%,65.4%,(5.4%),(4.1%),94.8,27.8,5.1%,-0.85,No,..,2.1%,1.4%
PANAMA,Central America,2015,Q2,High income,Trade & Logistics,Pegged (Dollarized),No,"4,290,256 people","$16,061",34.7%,39.1%,1.64 million visitors,2.3%,3.6%,4.6%,9.2%,8.8%,56.3%,(2.5%),(2.6%),108.5,22.9,5.4%,0.19,No,..,4.3%,4.4%
Uruguay,South America,2023,Q4,High income,Agriculture & Agro-exports,Floating,No,"3,327,462 people","$17,541",34.7%,33.5%,1.30 million visitors,1.2%,1.5%,3.1%,7.4%,5.7%,82.9%,(3.6%),2.0%,97.4,37.6,5.1%,0.3,No,..,2.7%,2.8%
Uruguay,South America,2020,Q3,High income,Agriculture & Agro-exports,Floating,No,"3,444,035 people","$16,953",30.2%,32.6%,2.04 million visitors,2.0%,6.9%,2.8%,3.7%,2.4%,78.8%,(2.5%),(1.5%),94.6,31.3,3.0%,1.3,No,..,2.8%,1.4%
El Salvador,Central America,2018,Q1,Lower middle income,Manufacturing & Trade,Pegged (Dollarized),No,"6,298,193 people","$4,281",35.9%,42.4%,2.54 million visitors,1.0%,3.5%,6.6%,2.9%,9.9%,80.7%,(3.7%),(7.1%),94.5,6.0,4.5%,-1.11,No,..,0.4%,0.9%
costa rica,Central America,2020,Q2,Upper middle income,Tourism & Services,Managed Float,No,"5,058,291 people","$12,334",38.1%,51.3%,4.00 million visitors,9.8%,5.1%,3.8%,4.5%,4.1%,53.7%,(1.3%),(11.9%),87.6,13.0,4.3%,0.83,No,..,5.3%,5.4%
Bolivia,South America,2007,Q2,Lower middle income,Mining & Extractives,Managed Float,No,"11,431,674 people","$4,527",46.5%,44.6%,0.28 million visitors,3.4%,..,4.9%,7.9%,5.6%,37.8%,(1.5%),2.1%,90.2,19.0,4.5%,-0.27,No,..,2.3%,1.0%
COSTA RICA,Central America,2015,Q4,Upper middle income,Tourism & Services,Managed Float,No,"5,060,320 people","$11,285",32.7%,26.1%,2.45 million visitors,8.9%,0.3%,3.6%,10.8%,6.2%,52.5%,3.6%,6.5%,90.7,34.5,4.5%,-0.07,No,..,3.2%,4.1%
EL SALVADOR,Central America,2010,Q3,Lower middle income,Manufacturing & Trade,Pegged (Dollarized),No,"6,374,644 people","$3,702",39.2%,33.0%,0.05 million visitors,0.5%,1.9%,6.9%,9.0%,7.0%,75.9%,(2.9%),7.0%,96.5,9.9,6.1%,-0.48,No,..,0.9%,0.2%
 Trinidad and Tobago ,Caribbean,2003,Q1,High income,Mining & Extractives,Floating,No,"1,317,647 people","$17,514",38.8%,38.2%,0.05 million visitors,1.2%,0.2%,4.3%,10.9%,6.6%,59.0%,(3.0%),2.1%,95.7,27.0,6.3%,0.31,No,..,1.1%,0.5%
Guyana,South America,2014,Q4,High income,Mining & Extractives,Floating,No,"763,160 people","$14,664",45.1%,51.0%,0.39 million visitors,2.3%,5.8%,3.7%,7.0%,4.3%,38.0%,(3.0%),(5.3%),107.0,37.7,5.1%,-0.5,No,..,10.8%,11.1%
 Trinidad and Tobago ,Caribbean,2007,Q3,High income,Mining & Extractives,Floating,No,"1,470,593 people","$15,798",39.9%,40.8%,0.58 million visitors,0.5%,(1.3%),2.2%,7.5%,5.5%,62.7%,(5.0%),(1.0%),89.0,46.0,4.5%,0.21,No,..,(0.2%),(0.9%)
 Uruguay ,South America,2009,Q1,High income,Agriculture & Agro-exports,Floating,No,"3,449,848 people","$17,015",34.8%,49.1%,1.14 million visitors,2.0%,2.6%,6.6%,6.6%,10.8%,66.7%,(3.3%),(14.4%),79.6,30.3,5.7%,0.9,No,..,4.8%,3.2%
ecuador,South America,2008,Q1,Upper middle income,Mining & Extractives,Pegged (Dollarized),No,"17,437,318 people","$5,671",50.2%,51.4%,1.27 million visitors,1.7%,4.9%,3.7%,6.7%,5.5%,61.6%,(5.2%),(1.2%),102.5,6.6,3.2%,0.18,No,..,1.8%,2.4%
belize,Central America,2008,Q3,Upper middle income,Tourism & Services,Pegged (Dollarized),No,"389,253 people","$5,550",31.5%,44.0%,2.89 million visitors,6.0%,0.0%,6.3%,2.9%,8.4%,89.2%,(3.2%),(12.3%),84.5,26.9,3.1%,-0.8,No,..,3.6%,2.5%
Trinidad and Tobago,Caribbean,2008,Q2,High income,Mining & Extractives,Floating,Yes,"1,417,572 people","$16,276",47.1%,52.7%,0.86 million visitors,0.7%,3.1%,9.9%,10.0%,11.7%,62.7%,(1.6%),(5.4%),93.4,33.7,4.3%,0.3,No,..,1.1%,0.8%
 Panama ,Central America,2016,Q1,High income,Trade & Logistics,Pegged (Dollarized),No,"4,234,666 people","$15,026",33.6%,43.4%,1.68 million visitors,3.8%,2.4%,5.0%,9.3%,5.8%,55.8%,(5.5%),(8.2%),106.2,6.5,3.0%,0.3,No,..,1.9%,3.9%
Guatemala,Central America,2011,Q3,Upper middle income,Agriculture & Agro-exports,Floating,No,"16,465,097 people","$5,401",36.0%,49.4%,1.14 million visitors,0.5%,2.9%,5.9%,11.3%,8.4%,38.9%,(2.6%),(12.2%),111.0,23.4,3.7%,-0.88,Yes,1.0%,(0.3%),0.6%
Jamaica,Caribbean,2019,Q3,Upper middle income,Tourism & Services,Floating,No,"2,779,133 people","$5,493",33.6%,28.9%,2.45 million visitors,5.7%,2.8%,3.5%,7.0%,6.2%,98.1%,(2.9%),5.3%,116.8,27.6,5.2%,-1.02,No,..,1.4%,2.2%
paraguay,South America,2008,Q2,Upper middle income,Agriculture & Agro-exports,Managed Float,No,"6,783,962 people","$5,959",35.9%,48.2%,0.30 million visitors,0.9%,2.3%,3.0%,5.1%,3.6%,33.4%,(3.7%),(11.9%),114.6,38.6,4.2%,0.04,No,..,5.1%,4.8%
Guatemala,Central America,2005,Q1,Upper middle income,Agriculture & Agro-exports,Floating,No,"16,385,310 people","$6,195",42.7%,39.1%,0.63 million visitors,1.8%,0.6%,0.0%,8.2%,2.4%,36.9%,(5.5%),1.7%,109.1,30.8,5.6%,-0.41,No,..,2.5%,1.5%
