priority,weapon,injury,offense,time-band,location,district,repeat-site,witness,cctv,alcohol,gang-flag,juvenile,domestic,vehicle,weekday,shift,precinct-size,report-delay,officer-count,clearance,file-flag
r,n,n,t,d,h,e,t,f,t,f,f,f,f,t,t,a,m,i,o,c,i
p,n,m,r,e,h,c,f,t,f,f,f,f,t,t,t,b,m,i,m,o,i
p,k,m,t,n,c,b,f,f,t,f,f,f,f,f,t,a,s,l,m,c,i
r,n,n,d,d,h,e,f,t,t,f,f,f,f,t,t,a,s,s,m,?,i
p,n,f,d,d,s,f,t,f,t,f,t,f,f,t,t,a,m,i,o,o,i
p,n,s,b,n,h,b,t,t,f,t,f,f,f,f,f,b,l,s,m,o,i
p,u,s,b,d,t,a,f,t,f,f,t,t,f,t,t,a,m,i,o,o,i
r,n,m,a,e,s,a,f,f,t,t,f,f,f,f,t,b,m,i,o,o,i
r,n,n,a,e,c,d,f,t,t,t,f,t,f,f,t,a,m,s,m,?,i
r,n,n,d,n,t,c,f,f,f,f,f,f,f,t,t,c,l,s,o,?,i
p,u,n,a,d,h,a,f,f,t,f,f,f,f,t,t,b,s,s,m,o,i
p,k,n,a,n,h,a,t,f,f,f,f,f,f,t,t,a,s,s,m,o,i
p,u,m,a,n,s,d,f,f,f,f,f,f,f,f,t,b,m,i,o,?,i
p,n,m,r,d,c,c,f,f,f,f,f,f,f,f,f,a,m,i,m,c,i
r,n,n,v,e,t,b,f,f,t,f,f,f,f,f,t,a,s,i,m,o,i
p,k,n,t,d,t,d,f,t,f,f,f,f,f,f,t,a,s,s,o,o,i
r,n,m,t,d,s,a,t,t,t,t,f,t,f,f,t,b,m,i,o,o,i
p,o,n,t,n,t,a,f,t,f,t,f,f,t,f,t,a,l,s,m,c,i
p,u,s,t,d,h,b,f,f,f,t,f,f,f,t,f,b,m,s,o,c,i
r,n,m,a,d,h,b,f,t,f,f,f,f,f,f,t,b,m,i,m,o,i
r,u,n,v,d,s,a,f,t,f,f,f,f,f,t,f,c,s,s,m,o,i
p,k,n,b,e,s,a,t,t,f,f,f,f,f,f,f,a,l,i,m,o,i
r,n,m,t,n,h,a,f,t,t,f,f,t,t,f,t,c,s,s,m,o,i
p,k,n,r,e,h,e,t,t,f,f,t,f,f,f,t,b,m,s,o,c,i
r,n,m,v,e,t,e,f,f,f,f,f,f,f,f,t,a,s,i,o,?,i
p,o,n,a,d,s,a,f,f,t,t,t,f,f,f,t,a,m,s,m,c,i
r,n,n,t,e,p,d,f,f,f,f,f,f,f,t,t,b,l,s,m,o,i
r,n,n,v,d,h,b,f,f,f,f,f,t,t,t,f,b,m,s,o,o,i
p,k,m,t,e,s,f,f,f,t,t,f,f,f,f,t,a,m,l,o,o,i
p,n,f,v,e,s,b,t,f,f,t,f,f,f,f,f,a,l,i,o,?,i
p,n,s,v,n,c,a,t,t,f,f,f,f,f,t,t,a,m,s,o,o,i
p,f,n,d,e,p,c,f,f,t,f,f,f,t,t,t,c,m,l,o,?,i
r,n,m,t,e,s,a,f,f,f,t,f,f,t,f,f,a,m,i,m,o,i
r,n,n,t,e,h,a,f,f,f,f,t,f,f,f,t,b,s,i,o,o,i
r,n,n,d,d,h,b,t,t,f,f,f,t,f,f,f,b,l,i,m,c,i
p,n,s,b,e,h,d,f,f,f,t,f,f,f,t,t,a,l,s,m,?,i
p,n,n,a,e,c,a,t,t,f,f,f,f,f,t,f,b,s,i,m,o,i
p,o,s,b,e,p,b,t,t,f,f,f,t,f,f,t,b,s,l,m,c,i
p,u,n,t,e,s,e,f,f,f,t,f,f,t,f,t,b,m,i,o,c,i
r,n,n,r,d,s,b,f,f,t,f,f,f,f,f,f,b,l,s,o,c,i
p,u,n,d,d,s,a,f,f,f,f,f,f,f,t,f,a,m,l,o,o,i
p,k,s,r,d,t,c,f,f,t,t,f,f,f,t,t,a,m,i,m,o,i
p,f,n,b,e,h,a,f,f,f,f,f,t,f,f,t,a,s,s,o,o,i
p,f,m,h,n,s,e,f,f,f,t,f,f,f,f,t,b,l,l,m,o,i
p,f,n,r,e,c,b,f,f,f,f,f,f,f,f,t,b,m,i,o,o,i
p,o,m,t,e,h,a,t,f,f,f,f,f,f,t,t,c,m,s,m,?,i
p,k,n,r,e,h,e,f,t,t,f,f,f,f,f,f,a,m,l,m,?,i
p,k,n,t,d,s,e,f,f,t,f,f,f,f,f,f,a,m,i,o,o,i
r,n,m,a,d,c,e,f,f,f,f,f,f,f,f,t,b,m,s,o,c,i
p,n,m,r,d,c,b,f,t,f,f,f,t,f,f,t,b,l,l,o,?,i
p,f,n,t,n,s,c,t,f,f,f,f,t,f,f,t,c,m,l,m,o,i
r,n,n,t,d,s,f,t,f,f,t,f,f,f,t,t,a,m,s,m,c,i
p,n,n,r,e,s,c,f,f,f,t,t,f,t,f,t,a,l,s,o,c,i
r,n,s,a,d,c,f,f,t,f,t,f,f,f,f,t,c,m,i,m,?,i
r,n,m,b,e,s,d,t,f,t,t,f,f,f,f,t,a,l,i,m,?,i
p,k,m,t,d,s,e,f,f,f,f,f,f,t,t,t,b,s,s,o,?,i
p,k,m,r,n,h,a,f,f,t,t,f,f,t,f,t,a,s,s,m,o,i
r,n,m,d,d,t,f,f,t,f,f,f,t,f,t,f,a,s,s,o,c,i
r,n,n,t,n,h,e,t,f,t,f,f,f,f,t,f,c,l,i,o,c,i
r,n,n,v,e,h,e,t,f,f,t,f,t,f,f,t,a,m,s,o,?,i
r,n,m,t,d,h,f,f,t,f,f,f,f,f,f,t,c,l,i,o,?,i
r,f,n,a,e,c,e,f,t,f,f,f,f,f,f,t,b,s,i,o,c,i
p,k,n,a,e,p,d,f,f,f,t,t,f,f,f,t,c,m,i,o,o,i
p,k,m,t,d,t,d,f,f,f,f,f,f,f,f,t,a,s,s,m,c,i
p,k,s,t,e,h,e,t,f,t,t,t,t,f,t,f,b,l,l,o,?,i
r,u,m,v,e,h,e,f,f,f,f,f,f,f,f,t,a,l,l,o,?,i
p,f,n,v,e,s,d,f,f,t,t,f,t,f,t,f,b,l,s,o,o,i
p,k,f,h,e,c,d,f,f,t,f,f,t,f,f,t,a,s,l,o,c,i
r,n,n,d,e,c,f,t,t,t,f,f,f,f,f,f,a,m,s,o,c,i
r,n,n,a,d,h,a,f,f,f,f,f,f,f,f,f,c,l,i,o,o,i
p,u,f,t,d,h,e,t,f,f,f,f,f,f,f,t,a,m,l,o,o,i
r,n,m,t,d,s,d,f,f,t,t,f,f,f,f,f,a,s,i,o,o,i
p,n,s,b,e,c,e,f,f,f,t,t,f,f,f,t,b,l,i,m,?,i
r,u,m,d,d,s,b,f,t,f,f,f,t,t,t,t,b,m,i,m,c,i
p,f,m,t,d,h,c,t,t,f,f,f,f,f,t,t,a,s,s,o,c,i
r,n,n,t,n,s,a,f,f,f,f,f,f,t,t,t,c,m,s,o,?,i
p,n,n,a,d,s,d,f,t,f,t,t,f,f,f,t,a,s,s,o,o,i
p,n,s,d,d,s,e,t,t,f,f,f,f,f,t,t,a,s,s,o,c,i
p,k,s,a,n,c,d,t,f,f,f,f,f,t,f,f,b,m,i,m,?,i
r,n,n,v,e,c,d,f,t,f,f,f,f,f,t,f,b,l,i,m,?,i
p,u,n,b,n,h,b,f,t,t,t,f,f,f,f,t,a,s,i,m,?,i
p,u,n,a,d,h,d,f,f,f,f,f,f,f,t,t,a,m,s,o,c,i
r,k,n,a,e,p,f,t,f,t,f,f,f,f,f,f,b,m,i,o,?,i
p,k,s,v,n,p,e,t,t,t,f,f,f,f,f,t,c,l,l,o,?,i
r,n,n,v,d,h,a,f,f,t,f,f,f,f,f,t,a,m,i,o,o,i
p,n,n,a,d,c,c,t,t,f,f,t,f,t,f,t,a,m,s,o,o,i
p,f,s,t,d,c,e,t,t,t,f,f,f,f,f,t,c,m,s,m,o,i
r,n,n,t,n,c,c,t,f,t,f,f,f,f,f,t,a,m,i,o,?,i
r,n,n,t,d,s,d,f,f,t,f,f,f,f,t,t,a,m,s,o,o,i
r,n,n,t,e,h,f,f,t,f,f,f,f,f,t,t,b,l,l,m,c,i
r,n,n,t,e,s,f,f,f,t,f,f,f,t,f,t,a,m,i,m,o,i
r,n,n,r,n,p,a,f,f,f,f,f,f,f,f,f,a,s,l,o,c,i
p,f,n,v,d,c,c,f,f,f,f,f,t,t,t,f,a,m,s,o,c,i
r,o,n,v,e,t,d,t,f,f,t,f,f,f,f,t,c,m,i,m,?,i
r,k,n,v,n,s,e,f,f,t,f,f,f,f,t,t,a,m,i,o,o,i
p,o,n,h,d,h,b,t,t,f,t,f,t,f,f,t,b,l,s,o,?,i
r,n,n,h,e,c,a,f,t,t,t,f,f,f,t,t,b,l,i,o,?,i
p,o,s,t,d,p,d,f,t,f,f,f,f,f,f,t,a,m,s,o,c,i
p,k,n,t,d,p,c,f,f,t,f,t,f,f,f,f,a,l,s,m,c,i
r,n,n,t,d,s,b,f,f,t,f,f,f,t,f,t,a,s,i,m,o,i
p,u,s,d,d,t,f,t,t,t,f,f,f,f,f,f,b,m,l,o,?,i
r,n,n,t,d,t,b,f,t,f,f,f,f,f,t,f,c,s,i,m,c,i
r,n,n,a,n,t,a,f,f,t,f,f,f,f,f,t,b,m,l,o,c,i
r,n,m,b,e,h,a,f,t,t,f,f,f,f,f,t,a,m,s,o,c,i
r,n,n,r,d,p,b,f,f,t,f,f,t,f,f,t,a,s,i,o,o,i
r,n,n,b,e,s,a,f,f,f,f,f,f,f,t,t,c,s,i,m,c,i
p,k,m,v,n,s,c,f,f,f,t,f,f,f,t,t,a,l,i,o,c,i
p,u,m,b,d,s,a,f,f,f,t,f,f,f,f,t,a,l,l,o,c,i
r,n,n,d,d,h,d,f,f,f,t,f,f,f,f,t,b,s,i,m,o,i
p,k,n,t,d,t,c,f,f,f,f,t,f,f,f,f,b,m,i,o,c,i
r,n,n,d,n,c,d,f,f,t,t,f,f,f,f,t,b,s,i,o,?,i
p,o,m,b,n,h,f,f,t,f,f,f,f,f,f,f,a,m,i,m,o,i
r,n,n,t,e,c,f,t,t,f,f,f,f,f,f,t,c,s,i,o,c,i
r,n,n,h,d,h,c,f,f,f,f,f,f,f,f,t,c,m,s,o,c,i
r,k,n,d,e,h,b,f,t,f,t,f,f,f,f,t,b,s,s,o,o,i
p,f,s,d,e,c,d,f,f,f,t,f,t,t,f,f,a,l,i,o,?,i
p,o,n,d,d,h,b,t,t,f,f,t,f,f,t,f,c,s,l,o,o,i
p,k,n,a,d,c,e,t,f,f,f,f,f,f,t,t,b,l,i,o,c,i
p,o,n,t,d,p,d,f,f,f,f,f,t,t,f,f,c,m,s,o,o,i
r,n,m,t,e,h,a,f,t,t,f,t,f,f,t,f,a,l,i,m,?,i
r,n,n,d,n,h,c,f,t,f,t,f,f,f,t,t,b,s,s,m,o,i
p,n,s,d,d,h,f,f,f,t,f,f,f,f,f,t,a,l,l,o,o,i
r,n,n,h,n,t,d,f,t,f,t,f,f,f,f,t,b,m,s,o,o,i
r,n,n,d,e,h,d,t,t,t,t,f,f,f,f,t,a,l,i,o,?,i
p,k,n,r,e,p,d,f,t,t,f,f,f,f,t,t,a,m,s,m,?,i
r,n,n,t,n,h,c,t,f,f,f,f,f,f,f,f,c,s,i,o,o,i
p,k,n,t,e,s,b,f,f,f,f,f,f,f,f,t,c,s,i,o,?,i
p,k,m,b,d,h,d,f,f,f,t,f,f,f,f,t,b,l,s,m,o,i
r,f,n,v,d,s,a,f,t,f,f,f,f,f,f,t,b,m,s,o,?,i
p,f,m,t,n,s,d,f,f,f,f,f,t,f,f,t,a,l,i,o,o,i
p,n,n,d,e,s,a,t,f,t,f,f,f,f,t,t,c,m,s,o,o,i
r,n,n,r,d,c,f,f,f,f,f,f,t,f,f,t,a,l,i,o,?,i
p,k,n,a,e,c,e,f,f,f,t,f,f,t,f,t,a,m,s,m,c,i
p,k,n,d,d,h,a,f,f,f,f,f,f,f,f,t,b,m,s,o,?,i
r,n,n,b,d,h,e,f,t,f,t,f,f,f,f,t,c,m,l,o,o,i
p,n,s,v,n,h,e,f,f,f,f,f,f,f,f,t,c,s,s,o,?,i
p,f,s,a,d,p,e,f,f,t,f,f,t,f,f,t,c,m,s,o,c,i
p,f,m,a,d,t,b,f,t,f,f,f,f,f,f,t,a,m,s,m,o,i
p,n,s,t,d,c,c,f,t,t,f,t,f,f,f,t,c,l,s,o,?,i
r,n,n,b,n,s,d,t,t,t,f,f,f,f,f,t,a,l,l,o,o,i
r,u,n,v,d,t,b,f,t,f,f,f,f,f,f,t,c,s,i,m,?,i
r,n,n,h,d,p,d,f,t,t,f,f,f,f,f,f,b,s,s,o,?,i
p,o,s,d,d,s,b,f,f,f,f,t,f,f,f,t,a,l,s,o,?,i
r,n,n,t,d,h,f,f,f,f,f,f,f,f,f,t,c,m,s,o,o,i
r,k,n,h,d,s,f,f,t,t,f,f,f,f,f,t,a,s,s,m,c,i
p,n,m,t,d,c,b,f,f,f,f,f,f,f,f,t,a,m,l,o,o,i
r,n,n,t,d,h,b,f,f,f,f,f,f,f,f,t,a,l,s,o,c,i
p,u,m,v,e,s,b,f,f,f,t,f,f,f,f,t,c,l,i,o,o,i
r,n,n,d,d,s,f,t,f,f,f,f,f,f,f,t,a,m,l,o,o,i
r,u,m,d,d,h,a,f,f,f,f,f,f,f,f,t,a,l,s,o,?,i
r,n,s,d,e,c,e,t,t,t,f,f,f,f,t,t,b,l,i,o,c,i
p,u,n,t,d,h,e,t,t,f,t,f,f,f,f,t,b,m,i,o,?,i
r,u,n,t,d,s,b,f,f,t,f,f,t,f,f,t,a,l,l,o,?,i
p,k,n,t,n,h,e,t,f,t,t,f,f,f,t,t,c,m,i,o,o,i
r,n,n,b,e,t,c,f,t,f,f,f,f,f,f,t,a,l,s,o,o,i
p,f,n,b,e,s,b,f,f,t,f,f,f,f,f,f,a,m,i,m,o,i
p,k,n,t,e,h,f,f,f,f,f,f,f,f,f,f,b,m,s,o,o,i
r,u,n,b,n,h,c,f,f,f,f,f,f,f,t,f,a,l,s,m,?,i
r,n,n,b,d,s,a,f,f,f,t,f,t,f,f,t,c,m,i,m,o,i
r,n,n,v,d,p,d,f,t,f,t,f,f,f,f,t,b,l,s,o,?,i
p,n,s,a,n,t,d,f,t,f,f,f,f,f,t,t,b,s,i,m,o,i
p,f,n,a,d,h,d,t,t,f,f,f,f,f,t,t,a,l,l,o,o,i
r,u,n,r,e,h,b,t,t,t,f,f,f,f,f,t,c,m,i,o,o,i
r,n,n,r,d,s,d,f,f,t,f,f,f,f,f,f,b,m,i,m,o,i
p,f,n,t,d,h,b,f,f,t,f,f,f,f,f,t,c,m,s,o,?,i
p,u,s,t,e,s,c,t,f,t,f,f,f,f,f,t,c,m,s,o,o,i
p,n,n,d,e,h,b,f,f,f,t,f,f,f,f,f,b,m,i,o,?,i
r,n,m,v,e,s,d,f,f,f,t,f,f,t,t,t,c,l,l,o,o,i
p,f,m,t,d,c,e,f,t,f,f,f,f,t,f,t,a,l,i,o,o,i
p,f,m,b,d,t,a,f,f,f,f,f,t,f,f,t,c,m,s,o,c,i
r,n,m,b,e,s,a,f,f,f,f,f,f,f,t,t,a,l,s,m,o,i
r,o,m,t,d,c,e,f,f,f,t,f,t,f,t,t,a,m,i,m,c,i
r,k,n,t,e,p,b,f,f,t,f,f,t,f,t,t,b,l,s,m,c,i
r,u,n,h,e,s,b,f,f,f,t,f,f,t,f,t,a,s,l,o,o,i
r,u,m,b,d,t,d,t,t,f,f,f,f,f,f,f,b,m,i,o,?,i
r,o,n,t,d,c,c,f,t,t,t,f,f,f,f,f,b,m,i,o,?,i
r,k,n,v,n,h,a,f,f,f,f,f,f,f,f,t,c,l,i,o,o,i
r,n,n,b,d,c,e,t,f,f,f,f,f,f,f,t,a,m,s,o,c,i
p,k,n,r,d,s,a,f,t,t,f,f,f,t,t,t,a,m,s,m,?,i
p,n,n,a,n,s,e,f,t,t,f,f,f,f,f,t,c,m,s,m,o,i
p,f,n,t,d,h,e,f,f,f,f,f,f,f,f,f,a,m,l,o,c,i
r,n,n,t,n,c,a,f,f,f,f,f,f,t,f,t,b,m,s,o,c,i
r,k,n,h,d,t,e,f,t,f,f,f,f,f,f,t,b,l,s,o,o,i
p,n,n,r,d,h,d,f,f,t,t,f,f,f,t,f,b,m,i,o,c,i
p,n,m,d,e,s,f,t,t,f,t,f,t,t,f,t,c,s,i,m,o,i
r,n,n,t,d,s,e,f,t,f,f,t,f,f,f,t,c,s,s,o,?,i
p,k,m,v,e,t,c,t,t,f,f,f,f,f,t,f,a,l,s,m,o,i
r,o,n,b,d,s,d,f,t,t,f,f,f,f,f,t,c,s,i,m,o,i
r,n,n,r,e,t,d,f,f,t,f,f,f,f,f,t,a,m,s,m,c,i
p,o,m,a,n,s,e,f,t,f,t,f,f,f,f,t,a,m,i,o,c,i
p,u,m,r,e,s,c,f,f,t,t,f,f,f,t,t,a,m,s,o,?,i
r,n,m,t,e,s,e,f,f,f,f,t,f,f,f,t,a,l,i,m,c,i
p,f,m,t,d,h,b,t,t,t,f,f,f,f,f,f,c,s,s,o,o,i
r,n,m,v,d,h,f,f,f,t,t,f,f,t,f,t,a,m,s,o,o,i
r,n,m,t,n,t,b,f,t,f,f,f,f,f,t,f,a,m,s,m,o,i
p,k,m,t,e,h,a,f,t,t,f,f,f,f,f,f,b,s,l,o,o,i
p,n,m,d,e,s,b,f,t,t,t,f,f,f,f,t,b,l,s,o,o,i
r,u,n,t,e,c,f,t,f,f,f,f,f,f,t,f,c,m,s,m,o,i
p,u,n,b,d,h,e,t,f,t,t,f,f,f,f,t,c,m,s,o,o,i
r,o,n,d,d,c,c,f,t,f,f,f,t,f,f,t,b,l,s,o,o,i
p,k,n,v,d,c,f,f,t,f,f,f,f,f,t,t,a,s,i,m,?,i
p,k,m,t,e,t,b,f,f,t,t,t,f,f,t,f,b,l,i,o,c,i
r,u,n,b,d,h,b,f,f,t,f,f,f,f,f,t,b,m,s,m,c,i
r,n,n,b,d,h,a,f,f,t,f,f,t,t,f,t,b,m,i,o,c,i
r,n,m,a,e,h,c,f,f,f,f,f,f,f,f,t,a,m,s,o,o,i
r,k,n,v,e,h,c,f,t,f,f,f,f,f,f,f,a,m,l,o,o,i
r,n,m,h,e,h,a,f,t,f,f,f,f,f,f,t,a,l,s,m,o,i
r,n,n,t,n,s,a,f,f,f,f,f,f,t,t,t,c,m,l,m,o,i
r,n,n,t,e,s,c,f,f,f,t,t,f,f,f,t,b,m,s,o,o,i
p,k,n,v,d,t,b,f,f,f,f,f,f,f,t,f,b,m,i,o,c,i
p,n,n,a,n,t,d,f,f,f,f,f,f,f,t,t,a,s,s,o,o,i
r,n,n,v,e,s,c,f,t,f,t,f,f,t,f,f,a,s,s,o,o,i
r,n,n,t,e,t,a,f,f,f,f,f,f,f,f,t,b,l,s,m,o,i
r,n,n,t,n,c,a,f,f,f,f,t,t,f,f,t,c,l,s,o,?,i
p,u,n,r,d,s,d,t,f,t,f,f,f,f,t,t,b,l,s,m,c,i
r,n,m,h,e,t,e,t,t,f,f,f,t,f,t,t,a,m,s,m,?,i
p,f,n,t,d,t,c,f,f,t,t,f,t,t,f,t,b,l,l,m,c,i
p,f,n,d,d,c,d,f,f,f,f,f,f,f,t,f,b,m,s,o,?,i
r,n,n,a,e,c,f,t,t,f,f,f,f,f,f,t,b,m,s,o,o,i
p,o,s,t,d,s,e,f,f,t,f,f,f,f,f,f,a,l,s,m,o,i
p,f,m,b,d,h,b,f,f,f,f,f,f,f,t,f,c,l,s,o,?,i
p,k,f,t,e,c,e,f,f,f,f,f,t,f,t,t,a,l,i,o,o,i
p,n,s,r,d,h,c,t,f,t,t,f,f,f,f,f,c,m,s,o,o,i
r,n,n,a,e,s,c,f,t,f,f,f,f,f,f,t,a,s,s,o,o,i
p,u,m,b,d,c,d,f,f,t,f,f,f,f,t,t,a,m,i,o,o,i
r,o,n,t,d,p,c,f,f,f,f,f,f,f,f,t,b,m,i,m,o,i
p,u,s,d,e,p,f,f,t,f,t,f,f,f,t,t,a,m,s,o,o,i
p,u,n,d,e,s,a,t,f,f,t,f,f,f,f,f,c,m,l,m,?,i
r,n,n,a,e,h,c,f,f,f,f,f,f,f,t,f,b,m,s,o,c,i
p,o,s,a,n,s,a,t,t,f,f,f,f,f,f,t,b,s,i,o,c,i
r,n,m,h,d,c,d,t,t,t,f,f,t,f,t,t,b,s,s,o,?,i
p,o,s,t,d,s,b,f,f,t,t,f,f,f,t,t,b,s,s,m,?,i
r,n,n,v,n,t,c,f,t,f,f,f,f,f,t,t,b,l,i,m,o,i
r,n,n,b,e,h,f,f,t,f,f,f,f,f,f,t,c,s,i,m,o,i
p,f,n,d,n,h,a,f,f,f,f,f,f,f,f,t,b,m,s,o,c,i
p,o,n,a,e,c,a,f,t,f,t,t,t,f,t,t,b,s,s,m,c,i
p,k,n,a,e,s,d,t,t,t,f,f,f,f,t,t,a,m,l,m,c,i
r,n,n,a,d,s,c,f,f,t,f,f,f,f,f,t,b,s,i,m,o,i
r,n,m,t,d,s,a,f,f,t,f,f,f,f,t,f,b,m,l,m,?,i
r,u,n,t,e,h,b,f,t,f,f,f,t,f,f,t,a,m,s,m,o,i
r,n,m,h,e,p,b,f,t,f,t,f,t,f,f,t,b,l,i,m,o,i
r,n,m,t,n,s,b,f,t,f,f,f,f,f,f,t,c,s,s,o,o,i
r,k,n,t,n,c,e,f,f,t,f,f,f,f,f,t,c,l,s,m,o,i
p,n,n,t,d,s,b,f,t,f,f,f,t,f,t,t,c,m,i,o,o,i
p,k,n,a,e,h,c,f,t,t,f,f,f,f,f,f,b,s,s,m,o,i
r,n,n,b,n,c,b,f,f,f,f,f,f,f,f,t,a,m,s,m,?,i
r,o,m,t,n,p,f,f,f,t,f,f,f,f,f,t,b,l,l,o,o,i
r,u,n,v,n,t,e,t,f,t,f,t,f,f,f,f,a,m,s,o,o,i
p,u,n,d,e,c,c,f,f,t,f,f,f,f,t,f,b,l,i,o,o,i
p,k,f,t,n,h,e,f,f,t,f,f,f,f,t,f,c,s,l,m,o,i
r,n,m,v,d,s,b,t,t,t,f,f,f,f,t,t,a,s,l,m,?,i
p,f,m,a,d,s,a,f,t,f,t,f,f,f,f,t,c,m,i,m,?,i
r,o,n,a,d,t,c,f,t,f,t,f,f,f,t,t,a,m,i,o,?,i
p,k,s,d,e,h,d,f,t,f,f,f,f,f,t,f,c,m,l,m,?,i
p,f,n,d,n,h,b,f,f,f,f,f,f,f,f,t,a,m,i,o,?,i
p,f,n,a,e,s,c,f,f,f,f,f,t,f,f,t,a,l,i,o,?,i
p,f,s,b,e,s,e,f,t,f,f,f,f,f,t,t,c,m,l,o,o,i
p,f,s,a,d,c,f,f,t,t,f,f,f,f,t,t,b,s,i,o,c,i
r,n,n,b,e,h,f,t,f,f,f,f,t,f,f,f,c,l,s,o,c,i
p,k,n,r,d,t,d,t,t,t,f,f,f,f,f,t,a,m,i,o,o,i
p,k,n,t,e,h,d,t,f,f,t,f,f,f,f,t,b,m,s,m,?,i
p,n,m,d,d,p,c,f,f,t,f,f,f,f,f,t,b,l,i,o,c,i
p,o,m,v,e,s,b,f,f,t,f,f,f,f,f,t,a,s,l,m,o,i
r,k,n,t,e,s,e,t,t,t,f,f,f,f,f,t,a,l,l,o,?,i
r,n,n,d,e,s,a,f,f,f,f,f,f,f,f,f,c,s,i,o,o,i
p,o,m,v,e,s,f,t,f,f,f,f,f,f,t,t,b,m,l,m,?,i
p,f,m,a,n,t,b,t,f,f,t,f,t,f,f,t,c,m,s,o,c,i
p,f,n,b,n,p,b,f,t,f,f,t,f,f,t,t,a,s,i,o,o,i
r,n,n,d,d,h,b,f,f,f,f,f,f,f,f,f,a,m,i,o,o,i
p,o,f,h,d,h,e,f,f,f,t,f,f,f,f,t,a,s,s,o,?,i
r,n,n,a,d,h,b,f,f,f,f,f,f,f,f,t,c,s,s,o,?,i
p,k,n,r,d,h,d,f,t,f,f,f,f,f,f,t,c,s,l,o,o,i
p,n,n,d,d,s,b,f,t,f,f,f,f,f,f,f,c,s,s,o,o,i
p,f,n,h,n,h,d,f,f,t,t,f,f,f,t,t,c,m,i,m,?,i
p,f,s,t,n,s,d,f,t,f,f,f,f,f,f,f,a,s,l,o,c,i
r,k,n,b,d,t,f,f,t,f,f,f,f,t,f,f,c,s,i,m,o,i
p,k,n,d,n,h,b,f,f,f,f,f,f,f,f,t,c,l,i,o,?,i
p,o,n,t,n,c,b,t,t,t,f,f,t,f,t,t,a,l,i,o,o,i
p,f,m,a,d,t,a,f,f,f,f,f,f,t,t,t,b,s,i,m,?,i
r,n,n,b,n,s,c,f,t,f,f,f,t,f,t,f,b,s,s,o,o,i
p,u,n,b,n,s,e,f,f,f,t,f,f,f,f,t,a,l,i,o,o,i
r,f,n,v,n,s,b,f,t,t,f,f,f,f,t,f,a,m,i,m,o,i
r,u,n,t,e,c,f,f,f,f,t,f,f,f,t,t,c,s,s,m,?,i
p,u,f,v,d,h,a,f,f,t,f,f,f,f,f,t,a,l,s,m,?,i
p,u,m,a,d,s,e,f,f,t,f,f,f,f,f,t,b,l,i,o,o,i
p,f,m,d,n,s,d,f,t,f,f,f,f,f,f,t,c,s,s,m,o,i
r,k,n,a,d,c,f,f,t,t,f,f,f,f,f,t,c,m,l,o,o,i
r,n,n,t,e,c,c,f,t,t,t,t,f,f,t,t,a,m,i,m,c,i
p,k,f,h,d,s,d,f,t,f,f,f,f,f,f,f,a,s,l,o,o,i
r,o,n,v,e,c,a,f,t,f,f,f,f,f,f,t,a,m,s,m,?,i
p,k,m,a,d,h,c,f,f,f,f,f,f,f,f,t,b,s,i,o,c,i
r,u,n,t,n,s,e,f,t,t,t,f,f,f,f,t,a,s,s,o,o,i
p,n,n,b,e,s,a,t,t,t,f,f,f,f,f,f,b,s,i,m,o,i
r,n,n,h,d,c,e,f,f,t,f,f,f,f,f,f,a,m,i,m,?,i
p,k,n,a,d,c,b,t,f,t,f,f,t,f,t,t,b,l,i,m,?,i
r,n,n,d,e,h,b,f,t,f,f,t,f,t,f,t,a,s,s,o,o,i
r,n,n,a,n,s,d,t,f,f,f,f,f,f,t,t,a,s,s,o,o,i
r,n,n,v,n,h,a,f,f,t,f,f,t,f,f,t,a,m,i,m,?,i
r,o,n,a,n,h,d,f,f,f,t,f,f,f,f,t,b,m,i,o,o,i
r,k,s,t,e,h,f,f,t,f,f,f,f,f,f,t,b,m,s,o,?,i
r,n,n,d,n,h,a,t,f,t,f,f,f,f,f,f,b,m,i,o,o,i
r,n,m,t,e,h,b,f,f,t,f,f,f,f,f,t,a,m,s,o,o,i
r,n,n,d,e,s,a,f,f,f,f,f,f,f,f,f,b,l,i,o,o,i
r,n,n,t,e,s,c,f,f,t,t,f,t,f,f,t,a,l,i,m,o,i
p,f,n,t,d,s,e,t,t,f,f,f,f,f,f,t,b,m,i,o,?,i
p,o,s,d,e,h,f,f,f,f,f,f,f,f,t,t,c,s,l,o,o,i
p,n,n,r,e,h,b,t,f,t,f,f,f,f,f,t,c,s,s,o,?,i
p,k,s,t,d,c,a,f,f,t,f,f,f,f,f,t,b,m,s,o,o,i
r,n,n,b,e,s,a,f,t,f,f,f,f,f,f,t,b,m,i,o,o,i
r,n,m,t,d,h,b,f,f,f,t,t,f,f,f,t,b,m,s,o,?,i
r,u,m,d,e,s,c,f,f,f,t,f,f,f,f,t,c,m,s,o,?,i
r,k,f,t,n,s,f,t,f,t,t,f,f,f,f,t,c,m,i,o,?,i
r,u,n,b,d,c,b,f,f,f,f,f,f,f,t,t,c,m,s,o,o,i
p,n,s,t,d,s,e,f,t,f,f,f,f,t,f,f,c,l,s,o,c,i
r,n,n,r,e,s,c,f,f,f,t,f,f,f,t,t,c,m,s,m,c,i
r,n,m,d,d,h,f,t,t,f,f,f,f,t,f,t,b,m,s,m,c,i
