year,bank,baseBank,charter,charter2,atvType,assets_b,roa,nim,efficiency,npl,funding,book,region,sFlag,tFlag
2006,Keystone Regional,Keystone,Regional Commercial,,,58.316,1.318,3.172,62.06,0.509,Wholesale,Retail loans,Midwest,,
2006,Keystone Regional,Keystone,Regional Commercial,,,55.926,1.402,3.233,64.49,0.426,Core,C&I loans,Midwest,,
2007,Keystone Regional,Keystone,Regional Commercial,,,59.663,1.054,2.952,62.09,0.755,Wholesale,Retail loans,West,,
2008,Keystone Regional,Keystone,Regional Commercial,,,64.441,0.45,3.388,66.28,1.975,Wholesale,Retail loans,South,,
2008,Keystone Regional,Keystone,Regional Commercial,,,63.013,0.425,3.339,66.98,1.836,Core,C&I loans,South,,
2009,Keystone Regional,Keystone,Regional Commercial,,,63.953,-0.071,3.082,68.37,3.346,Core,Retail loans,West,,
2009,Keystone Regional,Keystone,Regional Commercial,,,57.691,-0.1,3.065,68.57,3.386,Core,C&I loans,Midwest,,
2010,Keystone Regional,Keystone,Regional Commercial,,,59.994,0.598,3.288,66.05,3.416,Core,Retail loans,West,,
2011,Keystone Regional,Keystone,Regional Commercial,,,63.668,0.514,3.269,63.78,1.347,Wholesale,Retail loans,West,,
2011,Keystone Regional,Keystone,Regional Commercial,,,69.349,0.536,3.209,66.99,1.399,Core,C&I loans,Midwest,,
2011,Keystone Regional,Keystone,Regional Commercial,,,65.996,0.517,3.289,64.69,1.484,Wholesale,Mortgage,Midwest,,
2012,Keystone Regional,Keystone,Regional Commercial,,,72.013,1.137,3.117,60.72,0.735,Core,Retail loans,West,,
2013,Keystone Regional,Keystone,Regional Commercial,,,76.674,1.186,3.215,63.22,0.57,Core,Retail loans,Northeast,,
2013,Keystone Regional,Keystone,Regional Commercial,,,72.362,1.123,3.243,63.6,0.675,Core,C&I loans,Midwest,,
2014,Keystone Regional,Keystone,Regional Commercial,,,70.031,1.221,2.955,61.59,0.51,Core,Retail loans,South,,
2015,Keystone Regional,Keystone,Regional Commercial,,,80.121,0.955,2.896,61.9,0.989,Core,Retail loans,South,,
2015,Keystone Regional,Keystone,Regional Commercial,,,80.374,0.915,3.016,62.96,0.864,Core,C&I loans,West,,
2016,Keystone Regional,Keystone,Regional Commercial,,,74.246,1.197,2.832,63.25,1.105,Core,Retail loans,South,,
2017,Keystone Regional,Keystone,Regional Commercial,,,83.252,1.356,3.227,55.05,0.477,Core,Retail loans,West,,
2018,Keystone Regional,Keystone,Regional Commercial,,,79.085,1.008,3.089,59.19,0.214,Core,Retail loans,Midwest,,
2019,Keystone Regional,Keystone,Regional Commercial,,,89.483,1.034,3.26,57.32,0.391,Core,Retail loans,South,,
2020,Keystone Regional,Keystone,Regional Commercial,,,90.314,0.957,2.803,60.36,0.451,Core,Retail loans,Northeast,,
2021,Keystone Regional,Keystone,Regional Commercial,,,96.606,1.282,2.961,59.63,0.769,Core,Retail loans,South,,
2021,Keystone Regional,Keystone,Regional Commercial,,,95.069,1.26,2.93,59.71,0.624,Core,C&I loans,South,,
2022,Keystone Regional,Keystone,Regional Commercial,,,93.857,1.328,3.02,59.74,0.447,Core,Retail loans,Midwest,,
2023,Keystone Regional,Keystone,Regional Commercial,,,96.167,0.977,2.947,65.81,0.191,Core,Retail loans,West,,
2023,Keystone Regional,Keystone,Regional Commercial,,,97.417,0.964,2.986,64.83,0.119,Core,C&I loans,Midwest,,
2024,Keystone Regional,Keystone,Regional Commercial,,,99.995,0.818,2.773,57.82,0.05,Core,Retail loans,Northeast,,
2024,Keystone Regional,Keystone,Regional Commercial,,,106.957,0.866,2.702,59.38,0.178,Core,C&I loans,Northeast,,
2024,Keystone Regional,Keystone,Regional Commercial,,,110.634,0.769,2.744,59.38,0.131,Core,Mortgage,West,,
1998,Allegheny Bank,Allegheny,Regional Commercial,,,50.296,0.885,3.151,59.6,0.963,Core,Retail loans,Midwest,,
1999,Allegheny Bank,Allegheny,Regional Commercial,,,45.603,0.699,3.27,61.94,1.001,Core,Retail loans,South,,
2000,Allegheny Bank,Allegheny,Regional Commercial,,,51.651,1.223,3.061,60.62,0.801,Wholesale,Retail loans,South,,
2001,Allegheny Bank,Allegheny,Regional Commercial,,,47.983,1.0,3.094,59.29,0.688,Wholesale,Retail loans,Midwest,,
2002,Allegheny Bank,Allegheny,Regional Commercial,,,53.644,1.194,3.3,62.51,0.05,Wholesale,Retail loans,Northeast,,
2002,Allegheny Bank,Allegheny,Regional Commercial,,,49.254,1.207,3.32,60.84,0.112,Wholesale,C&I loans,Midwest,,
2003,Allegheny Bank,Allegheny,Regional Commercial,,,52.196,1.012,3.283,60.2,0.903,Wholesale,Retail loans,Northeast,,
2004,Allegheny Bank,Allegheny,Regional Commercial,,,51.783,0.84,3.151,64.52,1.176,Core,Retail loans,South,,
2004,Allegheny Bank,Allegheny,Regional Commercial,,,55.999,0.78,3.189,64.42,1.092,Core,C&I loans,South,,
2005,Allegheny Bank,Allegheny,Regional Commercial,,,53.681,1.314,2.903,61.15,0.866,Wholesale,Retail loans,Northeast,,
2005,Allegheny Bank,Allegheny,Regional Commercial,,,52.185,1.256,2.979,61.52,0.788,Wholesale,C&I loans,Midwest,,
2006,Allegheny Bank,Allegheny,Regional Commercial,,,56.102,1.179,3.253,62.46,0.911,Core,Retail loans,Northeast,,
2006,Allegheny Bank,Allegheny,Regional Commercial,,,58.1,1.202,3.32,62.58,0.942,Core,C&I loans,Northeast,,
2006,Allegheny Bank,Allegheny,Regional Commercial,,,54.895,1.259,3.237,64.14,0.757,Core,Mortgage,Northeast,,
2007,Allegheny Bank,Allegheny,Regional Commercial,,,50.771,1.166,3.261,56.27,0.877,Wholesale,Retail loans,West,,
2008,Allegheny Bank,Allegheny,Regional Commercial,,,56.662,0.69,2.978,64.54,1.824,,Retail loans,Northeast,,
2009,Allegheny Bank,Allegheny,Regional Commercial,,,55.357,0.268,3.104,66.4,3.688,Wholesale,Retail loans,Midwest,,
2009,Allegheny Bank,Allegheny,Regional Commercial,,,60.36,0.233,3.137,68.09,3.58,Wholesale,C&I loans,Midwest,,
2009,Allegheny Bank,Allegheny,Regional Commercial,,,58.343,0.209,3.098,66.68,3.655,Wholesale,Mortgage,Northeast,,
2010,Allegheny Bank,Allegheny,Regional Commercial,,Hybrid-channel,60.16,0.446,3.178,64.37,3.365,Core,Retail loans,Northeast,,
2010,Allegheny Bank,Allegheny,Regional Commercial,,Hybrid-channel,62.63,0.519,3.049,65.44,3.551,Core,C&I loans,Northeast,,
2011,Allegheny Bank,Allegheny,Regional Commercial,,,65.238,0.933,3.03,59.02,0.749,Core,Retail loans,West,,
2012,Allegheny Bank,Allegheny,Regional Commercial,,,66.98,1.044,3.062,61.78,0.89,Core,Retail loans,Northeast,,
2012,Allegheny Bank,Allegheny,Regional Commercial,,,60.577,1.005,3.022,59.94,0.844,Core,C&I loans,West,,
2013,Allegheny Bank,Allegheny,Regional Commercial,,,67.966,1.181,3.164,57.97,0.663,Core,Retail loans,Northeast,,
2013,Allegheny Bank,Allegheny,Regional Commercial,,,68.081,1.356,3.24,58.46,0.596,Core,C&I loans,West,,
2014,Allegheny Bank,Allegheny,Regional Commercial,,,72.64,1.142,3.111,63.02,0.343,,Retail loans,Northeast,,
2015,Allegheny Bank,Allegheny,Regional Commercial,,,71.889,1.046,2.96,62.07,0.395,Core,Retail loans,West,,
2015,Allegheny Bank,Allegheny,Regional Commercial,,,69.679,1.033,2.881,61.67,0.532,Core,C&I loans,South,,
2016,Allegheny Bank,Allegheny,Regional Commercial,,,68.631,1.32,3.04,60.47,0.435,Core,Retail loans,West,,
2017,Allegheny Bank,Allegheny,Regional Commercial,,,75.139,1.385,3.203,58.94,0.537,Core,Retail loans,Northeast,,
2018,Allegheny Bank,Allegheny,Regional Commercial,,,85.413,1.312,3.109,60.18,0.782,Core,Retail loans,South,,
2019,Allegheny Bank,Allegheny,Regional Commercial,,,85.715,0.689,3.329,60.73,0.517,Core,Retail loans,West,,
2020,Allegheny Bank,Allegheny,Regional Commercial,,,91.475,1.359,2.688,56.72,0.516,Core,Retail loans,Midwest,,
2020,Allegheny Bank,Allegheny,Regional Commercial,,,78.804,1.222,2.75,59.0,0.381,Core,C&I loans,West,,
2021,Allegheny Bank,Allegheny,Regional Commercial,,,88.057,1.233,3.027,59.95,0.253,Core,Retail loans,Northeast,,
2022,Allegheny Bank,Allegheny,Regional Commercial,,,94.301,1.124,2.625,60.56,0.22,Core,Retail loans,West,,
2022,Allegheny Bank,Allegheny,Regional Commercial,,,92.377,1.153,2.559,58.65,0.265,Core,C&I loans,South,,
2023,Allegheny Bank,Allegheny,Regional Commercial,,,101.115,1.251,2.576,56.37,0.059,Wholesale,Retail loans,Midwest,,
2024,Allegheny Bank,Allegheny,Regional Commercial,,Hybrid-channel,90.352,0.853,2.9,65.26,0.05,Core,Retail loans,West,,
1998,Chesapeake Regional,Chesapeake,Regional Commercial,,,40.162,0.908,3.14,62.81,0.602,Core,Retail loans,Northeast,,
1999,Chesapeake Regional,Chesapeake,Regional Commercial,,,42.575,1.08,3.324,60.91,1.565,Wholesale,Retail loans,Northeast,,
2000,Chesapeake Regional,Chesapeake,Regional Commercial,,,42.569,0.699,3.136,61.85,0.603,Core,Retail loans,Northeast,,
2001,Chesapeake Regional,Chesapeake,Regional Commercial,,,40.49,1.064,3.188,58.81,0.816,Wholesale,Retail loans,Midwest,,
2002,Chesapeake Regional,Chesapeake,Regional Commercial,,,40.694,0.806,2.859,63.35,0.875,Wholesale,Retail loans,South,,
2002,Chesapeake Regional,Chesapeake,Regional Commercial,,,44.179,0.938,2.905,63.93,0.937,Core,C&I loans,South,,
2003,Chesapeake Regional,Chesapeake,Regional Commercial,,,44.91,0.779,2.981,61.42,0.923,Wholesale,Retail loans,South,,
2003,Chesapeake Regional,Chesapeake,Regional Commercial,,,45.5,0.815,3.044,59.96,0.961,Core,C&I loans,Midwest,,
2004,Chesapeake Regional,Chesapeake,Regional Commercial,,,45.489,0.959,3.294,60.26,0.531,Wholesale,Retail loans,West,,
2004,Chesapeake Regional,Chesapeake,Regional Commercial,,,48.698,0.955,3.419,60.67,0.664,Core,C&I loans,West,,
2005,Chesapeake Regional,Chesapeake,Regional Commercial,,,46.762,1.139,3.131,60.14,1.215,Wholesale,Retail loans,Northeast,,
2006,Chesapeake Regional,Chesapeake,Regional Commercial,,,47.087,0.993,3.401,60.3,0.686,Core,Retail loans,Northeast,,
2007,Chesapeake Regional,Chesapeake,Regional Commercial,,,49.541,1.157,3.164,58.66,0.869,Core,Retail loans,Northeast,,
2008,Chesapeake Regional,Chesapeake,Regional Commercial,,,46.711,0.379,3.481,67.42,1.826,Core,Retail loans,Northeast,,
2009,Chesapeake Regional,Chesapeake,Regional Commercial,,,48.917,0.215,2.928,70.11,3.447,Core,Retail loans,Northeast,,
2010,Chesapeake Regional,Chesapeake,Regional Commercial,,,52.092,0.633,3.328,65.36,3.716,Core,Retail loans,Northeast,,
2010,Chesapeake Regional,Chesapeake,Regional Commercial,,,49.24,0.718,3.363,63.3,3.827,Core,C&I loans,West,,
2011,Chesapeake Regional,Chesapeake,Regional Commercial,,,50.086,0.498,3.444,62.16,0.711,Wholesale,Retail loans,Midwest,,
2012,Chesapeake Regional,Chesapeake,Regional Commercial,,,51.567,0.859,3.127,62.07,0.827,Core,Retail loans,West,,
2012,Chesapeake Regional,Chesapeake,Regional Commercial,,,59.948,0.806,3.059,63.27,0.991,Core,C&I loans,Midwest,,
2013,Chesapeake Regional,Chesapeake,Regional Commercial,,,53.288,1.088,3.199,61.28,0.804,Core,Retail loans,Midwest,,
2013,Chesapeake Regional,Chesapeake,Regional Commercial,,,60.476,1.12,3.286,63.12,0.818,Core,C&I loans,West,,
2013,Chesapeake Regional,Chesapeake,Regional Commercial,,,61.228,1.093,3.249,62.2,0.796,Core,Mortgage,West,,
2014,Chesapeake Regional,Chesapeake,Regional Commercial,,,63.946,0.968,3.273,61.41,0.989,Core,Retail loans,West,,
2015,Chesapeake Regional,Chesapeake,Regional Commercial,,,60.587,0.943,3.234,59.68,0.967,Wholesale,Retail loans,South,,
2016,Chesapeake Regional,Chesapeake,Regional Commercial,,,59.718,0.997,2.936,56.4,0.723,Core,Retail loans,West,,
2017,Chesapeake Regional,Chesapeake,Regional Commercial,,,63.922,1.11,3.362,59.74,0.77,Core,Retail loans,West,,
2017,Chesapeake Regional,Chesapeake,Regional Commercial,,,61.401,1.172,3.347,62.25,0.783,Core,C&I loans,Midwest,,
2018,Chesapeake Regional,Chesapeake,Regional Commercial,,,65.066,0.904,2.986,57.36,0.666,Core,Retail loans,Northeast,,
2018,Chesapeake Regional,Chesapeake,Regional Commercial,,,71.024,0.877,3.01,56.78,0.531,Core,C&I loans,Midwest,,
2019,Chesapeake Regional,Chesapeake,Regional Commercial,,,72.493,0.806,3.148,60.43,0.54,Core,Retail loans,Northeast,,
2019,Chesapeake Regional,Chesapeake,Regional Commercial,,,74.584,0.741,3.16,61.37,0.53,Core,C&I loans,Midwest,,
2020,Chesapeake Regional,Chesapeake,Regional Commercial,,Hybrid-channel,68.826,1.12,2.72,64.13,0.574,Core,Retail loans,West,,
2020,Chesapeake Regional,Chesapeake,Regional Commercial,,Hybrid-channel,67.695,1.083,2.726,64.31,0.726,Core,C&I loans,Northeast,,
2021,Chesapeake Regional,Chesapeake,Regional Commercial,,,79.889,1.218,2.745,62.77,0.647,Wholesale,Retail loans,West,,
2021,Chesapeake Regional,Chesapeake,Regional Commercial,,,70.414,1.293,2.679,62.02,0.696,Wholesale,C&I loans,Northeast,,
2022,Chesapeake Regional,Chesapeake,Regional Commercial,,,84.112,0.714,3.345,62.44,0.58,Wholesale,Retail loans,West,,
2023,Chesapeake Regional,Chesapeake,Regional Commercial,,,81.382,1.093,2.731,65.17,0.094,Core,Retail loans,West,,
2024,Chesapeake Regional,Chesapeake,Regional Commercial,,,83.058,1.144,2.784,63.56,0.116,Wholesale,Retail loans,Midwest,,
1998,Ozark Regional,Ozark,Regional Commercial,,,53.245,1.123,3.139,60.62,0.341,Wholesale,Retail loans,West,,
1998,Ozark Regional,Ozark,Regional Commercial,,,54.945,1.167,3.068,60.37,0.442,Core,C&I loans,Northeast,,
1999,Ozark Regional,Ozark,Regional Commercial,,,58.414,1.005,3.293,59.77,0.994,Core,Retail loans,Northeast,,
2000,Ozark Regional,Ozark,Regional Commercial,,,51.661,1.212,3.104,63.22,0.53,Core,Retail loans,South,,
2000,Ozark Regional,Ozark,Regional Commercial,,,58.303,1.126,3.12,63.02,0.845,Core,C&I loans,Midwest,,
2001,Ozark Regional,Ozark,Regional Commercial,,,54.936,1.124,2.958,59.06,0.898,Core,Retail loans,Midwest,,
2002,Ozark Regional,Ozark,Regional Commercial,,,61.328,1.025,3.243,60.18,0.814,Wholesale,Retail loans,South,,
2003,Ozark Regional,Ozark,Regional Commercial,,,56.921,0.62,3.113,65.99,1.011,Core,Retail loans,West,,
2003,Ozark Regional,Ozark,Regional Commercial,,,62.026,0.595,3.02,66.87,1.03,Core,C&I loans,Midwest,,
2004,Ozark Regional,Ozark,Regional Commercial,,,61.581,0.951,3.323,59.72,0.82,Core,Retail loans,Midwest,,
2005,Ozark Regional,Ozark,Regional Commercial,,,57.517,1.15,3.375,57.75,1.139,Wholesale,Retail loans,West,,
2006,Ozark Regional,Ozark,Regional Commercial,,,60.232,0.9,3.242,59.03,0.853,Core,Retail loans,Midwest,,
2007,Ozark Regional,Ozark,Regional Commercial,,,63.158,1.046,3.292,61.39,0.76,Core,Retail loans,South,,
2008,Ozark Regional,Ozark,Regional Commercial,,,67.229,0.439,3.086,67.68,2.151,Wholesale,Retail loans,West,,
2009,Ozark Regional,Ozark,Regional Commercial,,,69.38,0.317,2.831,64.81,3.622,Core,Retail loans,Midwest,,
2010,Ozark Regional,Ozark,Regional Commercial,,,68.701,0.765,3.118,64.89,3.189,Core,Retail loans,Midwest,,
2011,Ozark Regional,Ozark,Regional Commercial,,,74.182,1.014,3.191,60.04,0.873,Core,Retail loans,Midwest,,
2012,Ozark Regional,Ozark,Regional Commercial,,,75.388,1.22,2.815,58.68,0.714,Core,Retail loans,South,,
2013,Ozark Regional,Ozark,Regional Commercial,,,71.441,0.941,3.272,64.28,0.504,Core,Retail loans,West,,
2014,Ozark Regional,Ozark,Regional Commercial,,,85.49,1.043,3.247,59.65,0.756,Core,Retail loans,Midwest,,
2015,Ozark Regional,Ozark,Regional Commercial,,,76.677,0.954,3.268,65.29,1.108,Core,Retail loans,Midwest,,
2015,Ozark Regional,Ozark,Regional Commercial,,,85.462,0.834,3.272,65.02,0.994,Core,C&I loans,Northeast,,
2015,Ozark Regional,Ozark,Regional Commercial,,,82.302,0.883,3.291,65.43,1.019,Core,Mortgage,Northeast,,
2016,Ozark Regional,Ozark,Regional Commercial,,,88.79,1.204,3.179,63.55,0.345,Wholesale,Retail loans,West,,
2017,Ozark Regional,Ozark,Regional Commercial,,,84.083,0.932,3.365,60.32,0.7,Core,Retail loans,Northeast,,
2018,Ozark Regional,Ozark,Regional Commercial,,Hybrid-channel,97.745,1.176,3.27,56.63,1.01,Wholesale,Retail loans,Northeast,,
2018,Ozark Regional,Ozark,Regional Commercial,,Hybrid-channel,85.486,1.176,3.242,59.41,0.874,Wholesale,C&I loans,Midwest,,
2019,Ozark Regional,Ozark,Regional Commercial,,,97.223,0.858,3.001,66.6,0.161,Core,Retail loans,South,,
2020,Ozark Regional,Ozark,Regional Commercial,,,96.227,1.107,2.755,64.21,0.669,Core,Retail loans,Northeast,,
2020,Ozark Regional,Ozark,Regional Commercial,,,99.724,0.991,2.751,62.69,0.892,Core,C&I loans,West,,
2021,Ozark Regional,Ozark,Regional Commercial,,,102.985,1.113,2.959,66.7,0.92,Core,Retail loans,Midwest,,
2022,Ozark Regional,Ozark,Regional Commercial,,,112.074,1.109,2.937,61.34,0.164,Core,Retail loans,Midwest,,
2023,Ozark Regional,Ozark,Regional Commercial,,,110.246,0.878,2.823,63.84,0.373,Wholesale,Retail loans,West,,
2024,Ozark Regional,Ozark,Regional Commercial,,,106.123,1.106,2.666,60.98,0.501,Core,Retail loans,Midwest,,
2024,Ozark Regional,Ozark,Regional Commercial,,,104.765,1.136,2.59,59.73,0.421,Core,C&I loans,Northeast,,
1992,Cascade Regional,Cascade,Regional Commercial,,,33.713,0.941,3.117,59.55,0.887,Wholesale,Retail loans,South,,
1993,Cascade Regional,Cascade,Regional Commercial,,,33.343,1.066,3.23,64.18,0.713,Core,Retail loans,South,,
1993,Cascade Regional,Cascade,Regional Commercial,,,36.743,1.117,3.147,60.22,0.785,Core,C&I loans,West,,
1993,Cascade Regional,Cascade,Regional Commercial,,,37.803,1.093,3.176,59.51,0.586,Core,Mortgage,South,,
1994,Cascade Regional,Cascade,Regional Commercial,,,34.806,0.877,3.009,62.59,1.097,Core,Retail loans,South,,
1995,Cascade Regional,Cascade,Regional Commercial,,,34.817,1.087,3.265,62.5,0.669,Core,Retail loans,Midwest,,
1995,Cascade Regional,Cascade,Regional Commercial,,,39.228,0.993,3.331,62.07,0.59,Core,C&I loans,Midwest,,
1996,Cascade Regional,Cascade,Regional Commercial,,,39.02,1.034,3.162,58.75,0.938,Core,Retail loans,West,,
1997,Cascade Regional,Cascade,Regional Commercial,,,37.859,0.886,2.963,56.81,1.126,Core,Retail loans,South,,
1998,Cascade Regional,Cascade,Regional Commercial,,,39.853,1.322,3.16,55.37,0.547,Core,Retail loans,South,,
1998,Cascade Regional,Cascade,Regional Commercial,,,42.02,1.281,3.103,55.93,0.505,Core,C&I loans,Midwest,,
1998,Cascade Regional,Cascade,Regional Commercial,,,35.892,1.313,3.084,55.98,0.53,Core,Mortgage,Midwest,,
1999,Cascade Regional,Cascade,Regional Commercial,,,39.005,0.766,3.473,62.29,0.917,Wholesale,Retail loans,West,,
2000,Cascade Regional,Cascade,Regional Commercial,,,41.141,1.032,3.044,56.89,0.668,Core,Retail loans,South,,
2001,Cascade Regional,Cascade,Regional Commercial,,,40.353,0.775,3.035,61.89,0.438,Wholesale,Retail loans,Northeast,,
2002,Cascade Regional,Cascade,Regional Commercial,,,40.51,1.211,3.413,62.25,1.267,Wholesale,Retail loans,Midwest,,
2003,Cascade Regional,Cascade,Regional Commercial,,,41.39,1.024,3.134,60.83,0.829,Wholesale,Retail loans,Midwest,,
2004,Cascade Regional,Cascade,Regional Commercial,,Hybrid-channel,45.817,1.058,2.982,59.76,1.052,Wholesale,Retail loans,West,,
2005,Cascade Regional,Cascade,Regional Commercial,,,42.458,0.803,3.009,65.17,0.966,Core,Retail loans,Midwest,,
2006,Cascade Regional,Cascade,Regional Commercial,,,42.342,0.945,2.983,65.32,1.18,Core,Retail loans,Northeast,,
2007,Cascade Regional,Cascade,Regional Commercial,,,43.673,1.091,2.976,60.03,0.923,Core,Retail loans,South,,
2007,Cascade Regional,Cascade,Regional Commercial,,,44.837,1.116,3.056,60.67,0.877,Core,C&I loans,South,,
2008,Cascade Regional,Cascade,Regional Commercial,,,45.125,0.365,3.354,64.15,2.483,Core,Retail loans,West,,
2008,Cascade Regional,Cascade,Regional Commercial,,,45.729,0.349,3.2,66.74,2.444,Core,C&I loans,Midwest,,
2009,Cascade Regional,Cascade,Regional Commercial,,,44.752,0.683,3.194,63.45,3.484,Core,Retail loans,Northeast,,
2010,Cascade Regional,Cascade,Regional Commercial,,,46.006,0.336,3.295,63.01,3.411,Core,Retail loans,Northeast,,
2011,Cascade Regional,Cascade,Regional Commercial,,,52.722,0.731,3.149,66.37,0.833,Core,Retail loans,South,,
2012,Cascade Regional,Cascade,Regional Commercial,,,54.417,1.211,3.293,59.45,0.858,Core,Retail loans,Northeast,,
2013,Cascade Regional,Cascade,Regional Commercial,,,57.495,0.935,3.33,64.78,0.729,Core,Retail loans,West,,
2014,Cascade Regional,Cascade,Regional Commercial,,,60.521,0.806,3.045,62.49,0.63,Core,Retail loans,West,,
2015,Cascade Regional,Cascade,Regional Commercial,,,63.76,0.954,2.951,63.14,0.773,Core,Retail loans,South,,
2016,Cascade Regional,Cascade,Regional Commercial,,,56.555,1.03,3.166,64.9,0.624,Core,Retail loans,West,,
2017,Cascade Regional,Cascade,Regional Commercial,,,63.284,0.884,3.092,61.34,0.22,Core,Retail loans,West,,
2017,Cascade Regional,Cascade,Regional Commercial,,,67.663,0.883,3.111,58.42,0.317,Core,C&I loans,Midwest,,
2018,Cascade Regional,Cascade,Regional Commercial,,,65.661,0.732,3.307,60.62,0.784,Core,Retail loans,South,,
2019,Cascade Regional,Cascade,Regional Commercial,,,62.953,1.041,3.329,57.96,0.481,Core,Retail loans,Northeast,,
2020,Cascade Regional,Cascade,Regional Commercial,,,75.203,0.794,2.88,65.85,0.881,Core,Retail loans,South,,
2021,Cascade Regional,Cascade,Regional Commercial,,,73.104,0.919,2.943,65.24,0.777,Wholesale,Retail loans,Northeast,,
2022,Cascade Regional,Cascade,Regional Commercial,,,75.892,1.335,3.179,59.2,0.734,Core,Retail loans,Midwest,,
2022,Cascade Regional,Cascade,Regional Commercial,,,76.928,1.386,3.185,60.55,0.819,Core,C&I loans,West,,
2023,Cascade Regional,Cascade,Regional Commercial,,,76.184,1.311,2.815,54.59,0.868,Core,Retail loans,Northeast,,
2024,Cascade Regional,Cascade,Regional Commercial,,,75.975,0.889,3.053,63.3,0.34,Core,Retail loans,South,,
1990,Gulfstream Bank,Gulfstream,Regional Commercial,,,47.622,0.794,2.823,63.01,0.926,Core,Retail loans,South,,
1990,Gulfstream Bank,Gulfstream,Regional Commercial,,,49.99,0.906,2.777,62.42,1.0,Core,C&I loans,West,,
1991,Gulfstream Bank,Gulfstream,Regional Commercial,,,50.04,1.265,3.343,58.24,0.792,Wholesale,Retail loans,Midwest,,
1991,Gulfstream Bank,Gulfstream,Regional Commercial,,,53.635,1.29,3.376,59.6,0.603,Core,C&I loans,West,,
1992,Gulfstream Bank,Gulfstream,Regional Commercial,,,48.285,1.096,3.154,58.79,0.21,Wholesale,Retail loans,Northeast,,
1992,Gulfstream Bank,Gulfstream,Regional Commercial,,,55.84,1.031,3.179,56.54,0.367,Core,C&I loans,West,,
1993,Gulfstream Bank,Gulfstream,Regional Commercial,,,48.494,1.328,3.298,56.21,0.499,Wholesale,Retail loans,Midwest,,
1993,Gulfstream Bank,Gulfstream,Regional Commercial,,,53.961,1.276,3.34,54.39,0.421,Core,C&I loans,Midwest,,
1994,Gulfstream Bank,Gulfstream,Regional Commercial,,,53.874,0.873,3.26,62.28,0.657,Wholesale,Retail loans,Northeast,,
1994,Gulfstream Bank,Gulfstream,Regional Commercial,,,53.018,0.894,3.301,61.42,0.639,Core,C&I loans,West,,
1995,Gulfstream Bank,Gulfstream,Regional Commercial,,,56.393,1.024,3.355,61.7,0.887,Wholesale,Retail loans,Midwest,,
1995,Gulfstream Bank,Gulfstream,Regional Commercial,,,56.517,1.045,3.303,63.32,0.878,Wholesale,C&I loans,West,,
1995,Gulfstream Bank,Gulfstream,Regional Commercial,,,58.773,0.904,3.285,61.01,0.949,Core,Mortgage,West,,
1996,Gulfstream Bank,Gulfstream,Regional Commercial,,Hybrid-channel,56.73,1.029,3.127,60.88,1.156,Core,Retail loans,Northeast,,
1996,Gulfstream Bank,Gulfstream,Regional Commercial,,Hybrid-channel,53.164,1.042,3.141,59.34,1.201,Core,C&I loans,Midwest,,
1996,Gulfstream Bank,Gulfstream,Regional Commercial,,Hybrid-channel,51.139,1.044,3.158,59.89,1.163,Core,Mortgage,Northeast,,
1997,Gulfstream Bank,Gulfstream,Regional Commercial,,,53.904,1.373,3.395,58.41,1.488,Core,Retail loans,Northeast,,
1998,Gulfstream Bank,Gulfstream,Regional Commercial,,,59.714,0.906,3.126,67.26,0.851,Core,Retail loans,Northeast,,
1999,Gulfstream Bank,Gulfstream,Regional Commercial,,,59.587,1.195,3.349,60.53,0.667,Wholesale,Retail loans,West,,
1999,Gulfstream Bank,Gulfstream,Regional Commercial,,,59.372,1.142,3.322,59.8,0.539,Core,C&I loans,Northeast,,
2000,Gulfstream Bank,Gulfstream,Regional Commercial,,,58.016,1.177,3.071,64.39,0.681,Wholesale,Retail loans,South,,
2001,Gulfstream Bank,Gulfstream,Regional Commercial,,,61.366,1.209,3.165,60.24,1.223,Core,Retail loans,Northeast,,
2002,Gulfstream Bank,Gulfstream,Regional Commercial,,,60.178,1.123,3.099,61.52,0.994,Wholesale,Retail loans,Midwest,,
2003,Gulfstream Bank,Gulfstream,Regional Commercial,,,61.421,1.048,3.29,66.5,1.207,Core,Retail loans,Northeast,,
2004,Gulfstream Bank,Gulfstream,Regional Commercial,,,59.966,1.007,3.044,59.12,0.685,Core,Retail loans,West,,
2004,Gulfstream Bank,Gulfstream,Regional Commercial,,,64.564,0.985,3.142,59.65,0.802,Core,C&I loans,South,,
2005,Gulfstream Bank,Gulfstream,Regional Commercial,,,66.366,0.909,3.206,67.39,0.54,Core,Retail loans,South,,
2005,Gulfstream Bank,Gulfstream,Regional Commercial,,,60.301,0.891,3.124,67.21,0.803,Core,C&I loans,West,,
2006,Gulfstream Bank,Gulfstream,Regional Commercial,,,65.951,1.036,3.084,60.97,0.652,Core,Retail loans,West,,
2007,Gulfstream Bank,Gulfstream,Regional Commercial,,,68.811,0.948,2.887,63.65,1.066,Core,Retail loans,South,,
2007,Gulfstream Bank,Gulfstream,Regional Commercial,,,67.615,0.867,2.95,64.69,1.111,Core,C&I loans,West,,
2008,Gulfstream Bank,Gulfstream,Regional Commercial,,,71.711,0.358,3.319,68.99,1.959,Wholesale,Retail loans,West,,
2009,Gulfstream Bank,Gulfstream,Regional Commercial,,,74.446,0.078,3.182,66.62,3.461,Core,Retail loans,West,,
