No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,PEG,P/S,P/B,Price,Volume,EPS (ttm),EPS growth next year,EPS growth next 5 years,Total Debt/Equity,Beta,Institutional Ownership,RSI,Gross Margin,Food Cost %,SSS %
261,FKB,FKB Foods Inc.,Beverages,Soft Drinks,USA,7056027.62,45.30,1.95,1.27,1.64,42.58,"187,346",2.06,8.93%,-1.58%,0.70,1.19,67.15%,61.48,38.19%,28.89%,
262,FKC,FKC Foods Inc.,Beverages,Beer & Spirits,USA,2075665.56,,1.52,1.12,0.89,32.08,"11,395",2.49,-3.13%,-0.92%,0.71,1.39,22.94%,46.19,28.10%,33.98%,
263,FKD,FKD Foods Inc.,Beverages,Coffee & Tea,USA,12004977.61,49.90,2.23,1.34,1.09,68.07,"256,363",3.19,7.16%,17.31%,0.30,0.57,23.62%,22.84,31.24%,38.21%,
264,FKE,FKE Co.,Beverages,Bottled Water,USA,1838253.20,12.52,0.50,0.59,1.01,9.16,"137,890",-0.17,-4.71%,7.61%,0.76,0.20,30.85%,62.34,39.51%,38.90%,
265,FKF,FKF Brands,Beverages,Sports Drinks,USA,7510787.50,55.90,2.17,1.86,1.25,15.92,"443,435",6.61,-2.28%,-0.38%,0.70,1.02,48.99%,39.87,23.38%,45.61%,
266,FKG,FKG Foods Inc.,Beverages,Soft Drinks,USA,1630632.85,22.84,1.26,6.90,3.44,10.08,"348,163",3.87,5.84%,8.39%,0.37,0.72,58.70%,53.08,27.49%,46.75%,
267,FKH,FKH Foods Inc.,Beverages,Beer & Spirits,USA,210984954.85,55.96,1.47,1.33,2.35,145.84,"37,530",6.46,-3.71%,8.41%,1.15,0.48,38.70%,71.39,31.64%,51.23%,
268,FKI,FKI Foods Inc.,Beverages,Coffee & Tea,USA,14090975.58,28.43,,4.83,1.72,44.59,"7,676",1.29,-1.91%,-7.77%,2.66,0.42,28.84%,55.59,46.98%,37.91%,
269,FKJ,FKJ Brands,Beverages,Bottled Water,USA,17039578.27,30.41,1.04,0.77,2.38,206.94,"12,699",2.39,10.33%,0.37%,0.38,0.65,17.19%,52.66,40.08%,38.85%,
270,FKK,FKK Brands,Beverages,Sports Drinks,USA,1346179.83,10.13,1.57,0.92,0.81,27.28,"61,312",3.43,-9.69%,25.40%,0.37,0.26,19.71%,41.50,38.88%,39.34%,
271,FKL,FKL Foods Inc.,Beverages,Soft Drinks,USA,7979640.38,26.14,3.94,3.53,4.53,36.05,"5,139",1.80,7.09%,2.57%,0.29,0.78,33.27%,32.80,32.19%,57.73%,
272,FKM,FKM Foods Inc.,Beverages,Beer & Spirits,Canada,6069338.32,35.31,4.60,1.01,2.98,29.05,"251,067",3.11,10.73%,8.62%,1.28,1.01,69.83%,59.59,34.69%,42.62%,
273,FKN,FKN Foods Inc.,Beverages,Coffee & Tea,Canada,2636755.83,22.04,0.47,1.17,1.10,33.51,"69,019",4.12,11.15%,15.23%,1.00,0.62,10.57%,65.44,35.38%,47.16%,
274,FKO,FKO Foods Inc.,Beverages,Bottled Water,Canada,1247850.46,8.75,,1.00,3.09,15.90,"16,499",-4.83,-4.53%,-5.67%,0.96,0.85,33.93%,50.84,38.26%,27.22%,
275,FKP,FKP Co.,Beverages,Sports Drinks,Canada,32577377.01,7.72,3.52,1.63,2.88,65.49,"405,139",4.20,-0.35%,4.31%,0.31,1.82,42.34%,56.76,35.77%,25.76%,
276,FKQ,FKQ Brands,Beverages,Soft Drinks,Canada,1415277.93,20.52,5.65,0.54,1.85,39.88,"49,776",-1.76,7.74%,-0.36%,0.92,1.38,1.69%,48.00,26.98%,44.00%,
277,FKR,FKR Foods Inc.,Beverages,Beer & Spirits,Canada,45940826.45,20.44,0.99,1.16,1.78,57.67,"300,734",2.82,-16.32%,-1.64%,0.15,0.49,63.62%,41.95,38.86%,41.42%,
278,FKS,FKS Brands,Beverages,Coffee & Tea,Canada,1602246.71,39.56,1.15,2.76,1.30,11.52,"12,918",2.38,26.71%,6.42%,1.32,1.12,28.16%,49.81,55.34%,42.56%,
279,FKT,FKT Brands,Beverages,Bottled Water,Mexico,748478.09,36.35,1.93,1.38,8.65,26.21,"303,360",6.78,-25.03%,12.71%,0.86,0.68,50.32%,63.61,49.54%,48.93%,
280,FKU,FKU Co.,Beverages,Sports Drinks,Mexico,2494656.64,5.87,2.34,1.11,3.04,45.64,"1,638,783",2.80,1.21%,-4.62%,0.24,0.40,54.99%,62.46,40.31%,38.79%,
281,MCD,McDonald's Corporation,Restaurants,QSR Burgers,USA,1956535.94,15.69,0.71,1.60,0.90,45.52,"1,107,575",1.30,11.07%,6.47%,0.49,0.58,9.34%,44.39,22.75%,33.82%,-6.00%
282,SBUX,Starbucks Corporation,Restaurants,Coffee Shops,USA,265908853.29,12.21,1.42,0.76,0.83,33.53,"246,454",4.18,11.83%,9.02%,0.29,1.18,19.82%,76.01,33.66%,43.47%,-6.04%
283,FKX,FKX Brands,Restaurants,Casual Dining,Mexico,16640192.78,6.82,0.59,0.39,2.89,163.42,"98,578",4.64,-28.03%,1.38%,1.05,1.13,40.39%,33.52,36.98%,14.03%,5.16%
284,FKY,FKY Brands,Restaurants,Pizza,UK,7807901.48,58.58,1.86,1.75,1.85,91.81,"138,367",2.68,6.45%,18.48%,0.25,0.76,47.57%,32.73,36.01%,40.39%,2.65%
285,FKZ,FKZ Co.,Restaurants,Coffee Shops,UK,4666300.03,28.13,3.43,3.35,,23.46,"564,412",8.77,2.37%,20.18%,1.80,0.92,23.27%,62.07,26.02%,40.34%,1.39%
286,FLA,FLA Brands,Restaurants,QSR Burgers,UK,7568357.22,10.69,4.54,1.52,1.53,33.35,"7,941",1.57,17.82%,28.55%,0.89,0.32,81.65%,40.92,31.42%,37.20%,4.96%
287,FLB,FLB Co.,Restaurants,Fast Casual,UK,652021.34,36.49,,1.90,4.83,30.63,"273,880",3.56,5.02%,2.71%,0.49,0.95,41.81%,40.32,39.49%,26.34%,3.15%
288,FLC,FLC Co.,Restaurants,Casual Dining,UK,15360585.76,,3.15,3.13,1.07,116.49,"186,527",3.86,9.83%,12.25%,1.30,0.20,44.52%,60.18,24.62%,33.01%,0.81%
289,FLD,FLD Co.,Restaurants,Pizza,Switzerland,8470609.09,35.42,2.01,2.68,2.98,12.04,"101,959",4.53,14.10%,16.14%,0.84,0.71,45.90%,51.78,36.09%,33.67%,2.94%
290,FLE,FLE Co.,Restaurants,Coffee Shops,Switzerland,28787716.83,7.60,2.71,,4.88,247.81,"237,941",3.81,5.44%,7.92%,0.56,0.85,27.40%,25.16,36.70%,39.36%,5.71%
291,FLF,FLF Brands,Restaurants,QSR Burgers,Switzerland,32034904.49,64.54,1.40,1.11,1.81,41.29,"106,329",-1.29,16.89%,1.54%,0.37,0.52,21.84%,34.40,39.61%,29.81%,-1.66%
292,FLG,FLG Brands,Restaurants,Fast Casual,Netherlands,15326565.61,42.21,3.91,1.94,2.08,42.87,"13,170",7.10,-1.05%,-4.99%,0.75,1.30,53.76%,47.79,37.69%,20.47%,5.01%
293,FLH,FLH Foods Inc.,Restaurants,Casual Dining,Netherlands,27132856.48,40.87,1.62,,0.98,71.36,"460,182",3.32,16.55%,6.30%,0.50,0.51,8.00%,53.16,29.60%,34.39%,0.51%
294,FLI,FLI Foods Inc.,Restaurants,Pizza,Netherlands,14960852.18,16.57,0.40,0.50,2.31,51.60,"13,729",-2.61,3.47%,7.48%,0.87,0.88,33.15%,54.46,36.58%,15.17%,-6.95%
295,FLJ,FLJ Foods Inc.,Restaurants,Coffee Shops,Brazil,2576346.71,14.13,1.76,,1.19,14.85,"154,528",-0.02,38.89%,25.66%,0.60,0.82,21.17%,57.34,27.77%,35.59%,11.47%
296,FLK,FLK Brands,Restaurants,QSR Burgers,Brazil,467516.00,11.60,1.77,2.60,2.09,29.50,"25,689",2.99,15.22%,2.79%,0.54,0.87,22.05%,75.57,18.64%,11.77%,-6.79%
297,FLL,FLL Brands,Restaurants,Fast Casual,Brazil,7298074.04,12.68,,1.70,3.80,53.88,"215,710",1.39,1.30%,1.15%,1.43,0.20,82.44%,42.64,26.14%,19.19%,3.29%
298,FLM,FLM Foods Inc.,Restaurants,Casual Dining,Japan,1162107.41,13.51,0.67,1.73,2.12,35.58,"133,398",1.17,8.07%,1.06%,0.86,0.37,43.05%,39.62,36.63%,37.47%,5.16%
299,FLN,FLN Foods Inc.,Restaurants,Pizza,Japan,5773207.69,13.94,0.71,3.26,7.80,52.46,"956,621",7.57,8.65%,9.33%,0.60,1.60,87.94%,44.44,32.71%,29.51%,5.28%
300,FLO,FLO Foods Inc.,Restaurants,Coffee Shops,USA,7491095.66,7.80,1.23,3.00,0.96,30.29,"76,649",-3.39,11.76%,9.93%,0.76,0.20,56.84%,23.46,33.63%,23.00%,3.98%
301,FLP,FLP Foods Inc.,Restaurants,QSR Burgers,USA,20142152.34,14.09,2.04,1.34,2.35,106.64,"36,784",3.73,6.33%,12.88%,0.29,1.26,72.41%,64.94,41.07%,29.50%,3.08%
302,FLQ,FLQ Brands,Restaurants,Fast Casual,USA,14215256.55,12.78,,2.09,1.23,33.77,"31,819",3.00,25.24%,-2.47%,0.46,0.94,53.03%,41.63,15.86%,18.71%,4.72%
303,FLR,FLR Brands,Restaurants,Casual Dining,USA,4091451.11,26.05,2.04,0.23,2.96,26.69,"159,616",-1.09,11.08%,16.20%,0.60,0.30,40.85%,48.68,28.59%,43.01%,5.91%
304,FLS,FLS Foods Inc.,Restaurants,Pizza,USA,204930984.20,12.60,2.47,1.27,0.69,41.89,"292,762",4.56,-7.40%,4.91%,0.25,0.78,43.87%,45.17,38.98%,29.11%,5.09%
305,FLT,FLT Foods Inc.,Restaurants,Coffee Shops,USA,4046740.44,6.79,1.92,1.56,4.25,57.43,"9,085",2.47,18.82%,-1.55%,1.20,0.99,67.70%,46.92,36.35%,36.41%,7.87%
306,FLU,FLU Co.,Restaurants,QSR Burgers,USA,2114794.44,7.40,1.05,2.89,1.77,15.44,"101,065",6.10,15.07%,2.87%,1.16,1.19,55.48%,37.85,25.57%,31.17%,0.28%
307,FLV,FLV Brands,Restaurants,Fast Casual,USA,514594.43,43.90,1.19,2.64,5.97,25.84,"270,393",2.63,8.38%,12.51%,3.47,1.70,42.48%,59.57,25.58%,34.73%,3.47%
308,FLW,FLW Foods Inc.,Restaurants,Casual Dining,USA,2860968.96,14.27,2.78,3.64,2.06,141.19,"1,860",4.02,11.22%,13.72%,0.67,0.86,66.18%,74.27,28.75%,26.78%,-10.87%
309,FLX,FLX Foods Inc.,Restaurants,Pizza,USA,411621.57,28.62,1.55,4.17,1.40,32.59,"266,636",4.09,18.21%,18.19%,1.04,0.38,37.83%,42.89,37.21%,28.75%,-0.66%
310,FLY,FLY Foods Inc.,Restaurants,Coffee Shops,USA,6996659.78,26.66,1.76,,1.27,48.57,"28,315",-3.42,17.91%,-0.43%,0.76,1.11,27.97%,59.15,19.09%,25.72%,1.66%
311,FLZ,FLZ Foods Inc.,Restaurants,QSR Burgers,USA,2781072.47,20.18,0.31,0.85,2.49,25.73,"71,663",1.63,-17.21%,7.97%,0.75,1.04,33.12%,33.98,38.52%,15.58%,-3.11%
312,FMA,FMA Brands,Restaurants,Fast Casual,USA,10179855.79,25.91,1.56,2.33,6.58,61.14,"182,575",-1.33,5.31%,1.41%,0.39,1.28,11.98%,44.65,22.88%,20.32%,-4.58%
313,FMB,FMB Brands,Restaurants,Casual Dining,USA,12928099.90,22.02,2.82,2.32,1.38,83.65,"511,729",1.15,16.78%,9.95%,1.10,0.74,54.59%,54.10,34.42%,22.03%,-6.37%
314,FMC,FMC Foods Inc.,Restaurants,Pizza,USA,3572165.11,,2.45,3.60,3.42,58.40,"320,438",3.57,5.45%,8.67%,0.69,0.38,23.21%,46.17,27.69%,27.28%,1.11%
315,FMD,FMD Foods Inc.,Restaurants,Coffee Shops,USA,2028395.17,42.93,1.14,3.88,1.71,21.50,"333,730",-1.06,27.68%,22.53%,0.48,1.08,23.52%,60.82,30.19%,15.50%,0.64%
316,FME,FME Brands,Restaurants,QSR Burgers,USA,12796264.56,33.38,1.05,,0.84,332.22,"12,629",-1.11,2.06%,8.85%,1.27,0.85,46.30%,57.54,39.91%,25.81%,2.39%
317,FMF,FMF Brands,Restaurants,Fast Casual,USA,814064.12,13.23,1.35,1.44,5.78,15.33,"38,337",3.19,-6.21%,2.84%,0.79,1.22,35.91%,46.92,34.88%,26.12%,-4.51%
318,FMG,FMG Foods Inc.,Restaurants,Casual Dining,USA,18903024.97,43.09,0.94,0.88,3.61,285.93,"16,736",5.53,2.79%,2.31%,0.48,0.20,71.30%,49.00,19.26%,28.96%,-2.94%
319,FMH,FMH Brands,Restaurants,Pizza,USA,51450801.35,26.00,2.14,2.16,2.68,429.77,"33,848",2.86,7.15%,5.34%,0.35,0.80,38.17%,28.44,36.30%,35.09%,11.33%
320,FMI,FMI Brands,Restaurants,Coffee Shops,USA,14874271.78,44.84,2.14,0.71,,146.82,"68,005",1.62,3.35%,-11.95%,0.34,0.52,30.00%,73.38,25.47%,20.78%,-2.55%
321,FMJ,FMJ Foods Inc.,Restaurants,QSR Burgers,USA,19598352.35,46.13,1.44,1.47,1.96,91.13,"52,558",4.81,-8.91%,0.43%,0.77,1.20,38.87%,56.85,40.72%,34.39%,3.74%
322,FMK,FMK Brands,Restaurants,Fast Casual,USA,40242901.63,9.32,1.98,2.64,2.83,60.08,"51,143",2.84,10.70%,-8.45%,0.37,0.46,59.59%,39.00,38.94%,31.24%,1.29%
323,FML,FML Foods Inc.,Restaurants,Casual Dining,USA,11832974.73,24.04,1.48,2.51,,12.24,"12,530",2.62,-3.16%,0.22%,0.69,1.12,7.88%,38.32,40.02%,32.02%,1.45%
324,FMM,FMM Brands,Restaurants,Pizza,USA,6895439.61,50.79,1.25,1.04,0.77,50.84,"61,372",-0.22,17.27%,-4.54%,0.77,0.87,30.60%,69.98,34.80%,47.92%,4.33%
325,FMN,FMN Foods Inc.,Restaurants,Coffee Shops,USA,1398392.87,13.06,1.89,1.27,1.98,83.00,"40,418",4.98,-10.18%,13.48%,0.46,1.33,45.66%,69.94,38.20%,18.34%,1.82%
326,FMO,FMO Co.,Restaurants,QSR Burgers,USA,4936065.96,26.00,1.22,0.41,1.01,36.53,"36,694",7.26,-2.25%,13.66%,0.42,0.69,25.13%,55.91,26.97%,26.94%,4.40%
327,FMP,FMP Co.,Restaurants,Fast Casual,USA,5207806.59,21.37,1.94,2.63,1.27,86.21,"14,087",3.06,-24.48%,6.76%,0.57,0.81,39.75%,62.62,25.16%,41.17%,-4.08%
328,FMQ,FMQ Foods Inc.,Restaurants,Casual Dining,USA,22353890.64,15.12,0.94,2.96,4.84,43.45,"33,441",2.86,7.67%,6.94%,0.51,0.23,45.61%,69.08,44.81%,14.09%,-0.69%
329,FMR,FMR Foods Inc.,Restaurants,Pizza,USA,6437107.12,13.72,1.13,,2.16,58.49,"1,207,984",0.93,9.49%,7.08%,1.01,1.60,49.44%,38.09,32.62%,18.68%,-1.63%
330,FMS,FMS Co.,Restaurants,Coffee Shops,USA,22301963.38,19.73,0.86,2.14,3.15,98.86,"82,588",0.05,29.93%,12.65%,0.78,0.75,26.27%,55.49,38.70%,23.02%,-1.70%
331,FMT,FMT Co.,Restaurants,QSR Burgers,USA,32308726.02,26.66,0.89,1.13,9.60,214.20,"83,642",-1.78,-5.18%,5.62%,0.78,1.12,49.11%,42.02,25.92%,24.03%,8.84%
332,FMU,FMU Brands,Restaurants,Fast Casual,USA,14670673.55,28.72,1.03,1.57,1.09,132.38,"231,928",5.16,10.30%,21.70%,0.63,0.77,31.75%,40.60,24.35%,30.39%,3.81%
333,FMV,FMV Foods Inc.,Restaurants,Casual Dining,USA,703027.49,10.23,1.92,1.89,6.03,54.27,"392,479",0.88,3.41%,-17.09%,1.26,1.32,15.55%,54.51,42.41%,43.00%,2.21%
334,FMW,FMW Co.,Restaurants,Pizza,USA,110238071.00,16.76,6.18,1.25,1.29,368.21,"59,508",-0.60,30.75%,4.94%,0.66,0.52,6.29%,82.44,26.63%,37.04%,-1.80%
335,FMX,FMX Brands,Restaurants,Coffee Shops,USA,2686538.60,28.97,4.03,1.24,2.28,63.72,"81,497",-0.56,3.63%,6.37%,1.34,0.20,21.42%,34.96,20.23%,23.12%,5.73%
336,FMY,FMY Co.,Restaurants,QSR Burgers,USA,449210.45,16.43,,7.97,2.57,28.91,"32,014",2.98,8.70%,8.96%,0.98,0.29,42.69%,41.70,35.19%,35.41%,8.80%
337,FMZ,FMZ Brands,Restaurants,Fast Casual,USA,8263115.46,,2.25,2.95,2.29,40.85,"119,795",1.41,14.88%,2.88%,0.88,0.36,79.55%,36.98,28.29%,12.00%,1.05%
338,FNA,FNA Co.,Restaurants,Casual Dining,USA,3826285.49,21.47,0.76,1.20,1.77,20.48,"24,880",0.49,25.48%,-0.32%,0.19,0.83,30.27%,37.69,43.69%,24.77%,2.55%
339,FNB,FNB Co.,Restaurants,Pizza,USA,813323.78,150.65,1.79,0.55,1.57,27.93,"34,653",-0.20,3.55%,2.64%,0.17,0.95,56.17%,61.94,41.41%,23.71%,1.84%
340,FNC,FNC Foods Inc.,Restaurants,Coffee Shops,USA,2712849.19,18.10,1.52,0.92,4.54,134.91,"285,249",2.64,4.50%,6.46%,0.76,0.90,74.68%,37.97,25.06%,8.00%,6.09%
341,FND,FND Foods Inc.,Restaurants,QSR Burgers,USA,15721615.78,,1.49,1.20,10.93,23.60,"58,918",3.54,0.82%,2.91%,0.63,0.20,68.00%,49.82,23.13%,29.19%,1.52%
342,FNE,FNE Co.,Restaurants,Fast Casual,USA,15885401.00,12.52,2.78,0.38,2.49,35.79,"24,313",4.09,3.59%,18.55%,0.83,0.41,7.97%,63.99,27.44%,20.27%,0.79%
343,FNF,FNF Foods Inc.,Restaurants,Casual Dining,USA,77414564.22,46.33,1.88,1.00,2.26,56.91,"46,104",3.16,22.12%,-3.28%,0.50,1.07,72.98%,47.42,33.53%,34.11%,-1.90%
344,FNG,FNG Foods Inc.,Restaurants,Pizza,USA,7906088.53,39.11,0.67,2.55,1.73,13.45,"11,652",-3.48,-20.39%,11.60%,1.58,0.34,56.75%,66.32,36.71%,27.62%,3.56%
345,FNH,FNH Brands,Restaurants,Coffee Shops,USA,2585194.56,11.85,1.15,1.86,0.61,39.35,"186,043",2.61,6.76%,14.88%,0.85,0.76,63.31%,51.85,34.16%,16.59%,5.24%
346,FNI,FNI Foods Inc.,Restaurants,QSR Burgers,USA,2482618.29,31.38,0.94,1.54,1.26,38.04,"32,523",-1.03,11.39%,19.44%,0.47,1.42,49.92%,55.99,32.59%,23.39%,2.36%
347,FNJ,FNJ Foods Inc.,Restaurants,Fast Casual,USA,9917375.91,17.13,1.35,1.69,1.01,103.81,"184,479",2.69,12.64%,14.93%,2.36,1.46,9.18%,51.09,28.09%,32.13%,0.31%
348,FNK,FNK Brands,Restaurants,Casual Dining,USA,180809976.57,17.19,1.17,0.73,1.44,578.11,"107,372",-1.52,-0.90%,16.26%,0.38,0.20,50.42%,56.98,35.74%,34.61%,1.94%
349,FNL,FNL Foods Inc.,Restaurants,Pizza,USA,159385.27,43.63,2.37,1.30,2.45,28.77,"47,339",0.69,1.36%,25.27%,1.00,1.13,34.37%,68.86,49.29%,20.26%,2.91%
350,FNM,FNM Brands,Restaurants,Coffee Shops,USA,1888209.33,28.29,1.27,0.63,10.15,36.16,"67,941",-1.85,-19.26%,4.73%,0.85,0.60,32.58%,48.83,52.23%,24.50%,5.20%
351,FNN,FNN Foods Inc.,Restaurants,QSR Burgers,USA,5851023.71,22.24,3.16,1.93,1.08,82.23,"263,081",1.08,12.99%,1.21%,2.00,1.51,45.58%,67.69,44.81%,25.42%,-2.00%
352,FNO,FNO Foods Inc.,Restaurants,Fast Casual,USA,4205946.27,19.55,2.28,2.57,,34.68,"49,244",1.94,16.16%,11.06%,0.17,1.56,52.02%,60.48,31.29%,26.79%,-9.01%
353,FNP,FNP Brands,Restaurants,Casual Dining,USA,9350567.32,13.41,1.46,,2.47,25.95,"70,688",-0.86,-4.29%,23.12%,0.36,0.93,35.50%,58.26,33.22%,12.80%,3.13%
354,FNQ,FNQ Foods Inc.,Restaurants,Pizza,USA,18331748.36,17.53,1.72,3.89,1.03,61.78,"90,102",-0.73,35.54%,15.96%,0.62,0.82,24.32%,29.41,31.53%,21.03%,9.48%
355,FNR,FNR Brands,Restaurants,Coffee Shops,USA,77123293.62,27.51,0.93,1.13,1.66,76.40,"86,296",4.26,-12.22%,4.60%,1.33,0.63,5.41%,37.49,34.36%,18.75%,0.10%
356,FNS,FNS Co.,Restaurants,QSR Burgers,USA,596900.90,12.26,,1.12,0.94,12.69,"41,706",0.99,11.48%,7.15%,0.99,0.29,65.83%,58.31,36.63%,21.48%,-1.53%
357,FNT,FNT Brands,Restaurants,Fast Casual,USA,75054444.19,,2.38,0.77,7.08,28.91,"6,772",7.37,24.28%,-4.90%,0.94,0.66,20.99%,58.60,32.02%,32.58%,8.49%
358,FNU,FNU Brands,Restaurants,Casual Dining,USA,31255178.92,28.18,2.77,0.98,1.30,60.08,"301,891",5.07,10.79%,-2.37%,0.82,1.08,53.01%,58.13,21.44%,13.39%,8.82%
359,FNV,FNV Brands,Restaurants,Pizza,USA,9585165.65,49.97,1.30,1.95,3.38,53.24,"132,702",0.38,10.57%,25.92%,0.34,0.75,17.77%,66.96,31.79%,43.65%,-0.73%
360,FNW,FNW Co.,Restaurants,Coffee Shops,USA,14904728.78,30.19,0.74,1.81,0.62,138.58,"23,308",1.35,-0.19%,-15.13%,0.57,1.14,34.28%,58.86,35.12%,33.41%,2.18%
361,FNX,FNX Brands,Restaurants,QSR Burgers,USA,595219.95,47.17,1.43,5.72,3.52,21.17,"46,833",-0.99,-3.71%,4.60%,0.40,0.91,18.42%,80.66,21.47%,30.53%,-3.35%
362,FNY,FNY Foods Inc.,Restaurants,Fast Casual,USA,1788256.12,33.86,1.33,0.60,2.43,28.80,"44,293",3.18,4.79%,7.80%,0.41,0.72,30.37%,58.40,50.77%,19.76%,-2.92%
363,FNZ,FNZ Brands,Restaurants,Casual Dining,USA,527672.02,25.30,2.44,0.37,,10.40,"10,470",3.35,18.91%,7.01%,0.87,0.51,66.19%,59.64,47.39%,36.46%,-1.01%
364,FOA,FOA Co.,Restaurants,Pizza,USA,805157.73,5.84,2.27,2.11,4.83,54.22,"56,732",0.33,-5.02%,9.67%,1.19,1.28,27.84%,26.55,41.57%,30.66%,5.09%
365,FOB,FOB Foods Inc.,Restaurants,Coffee Shops,USA,1835583.99,,1.40,2.52,1.89,35.74,"102,370",1.32,-9.39%,14.39%,0.93,1.26,46.99%,64.92,24.52%,22.74%,1.20%
366,FOC,FOC Co.,Restaurants,QSR Burgers,USA,6924282.17,18.52,,0.82,6.57,28.89,"16,105",2.17,12.94%,13.05%,0.76,0.79,66.97%,43.89,26.51%,34.94%,3.15%
367,FOD,FOD Foods Inc.,Restaurants,Fast Casual,USA,10213626.42,10.61,,1.08,5.64,83.69,"62,010",2.75,-4.44%,-8.21%,0.29,1.25,48.61%,38.10,45.78%,27.82%,9.32%
368,FOE,FOE Foods Inc.,Restaurants,Casual Dining,USA,18964765.92,19.14,1.56,3.53,3.81,95.32,"15,403",6.08,11.82%,25.27%,2.73,0.89,6.16%,49.26,33.58%,45.70%,-4.06%
369,FOF,FOF Brands,Restaurants,Pizza,USA,8181629.65,,1.33,0.54,2.13,34.92,"34,056",0.39,5.85%,7.74%,0.44,1.19,66.65%,27.28,27.36%,37.25%,-0.08%
370,FOG,FOG Foods Inc.,Restaurants,Coffee Shops,USA,42081613.90,30.41,2.26,2.12,4.45,61.00,"193,198",3.14,20.07%,1.81%,0.91,0.93,46.96%,37.56,40.35%,19.41%,-0.39%
371,FOH,FOH Co.,Restaurants,QSR Burgers,USA,9579218.20,23.02,1.37,0.40,2.31,59.15,"60,389",2.25,0.29%,18.81%,0.43,0.85,57.37%,56.51,35.27%,25.95%,6.59%
372,FOI,FOI Brands,Restaurants,Fast Casual,Canada,6742429.91,34.87,2.38,4.10,3.32,86.92,"85,129",0.61,-6.39%,-5.62%,1.85,0.21,59.96%,70.42,30.58%,19.78%,-4.43%
373,FOJ,FOJ Foods Inc.,Restaurants,Casual Dining,Canada,1294419.34,,,2.99,1.34,39.44,"6,944",2.16,13.87%,27.46%,0.74,0.78,77.91%,63.74,24.64%,38.01%,4.11%
374,FOK,FOK Co.,Restaurants,Pizza,Canada,31930632.79,18.83,0.44,2.22,,24.56,"4,258",4.40,14.35%,8.58%,0.52,1.52,36.33%,45.46,25.08%,23.52%,1.35%
375,FOL,FOL Foods Inc.,Restaurants,Coffee Shops,Canada,19536504.05,,2.58,2.28,1.99,129.39,"57,561",4.99,0.34%,-12.39%,0.33,0.95,22.80%,69.15,37.23%,33.64%,3.39%
376,FOM,FOM Brands,Restaurants,QSR Burgers,Canada,2490623.70,22.59,4.04,0.74,2.37,111.71,"817,782",5.16,5.52%,11.52%,0.66,0.70,41.62%,52.10,25.50%,21.93%,0.21%
377,FON,FON Co.,Restaurants,Fast Casual,Canada,3375786.23,18.48,,2.24,3.81,71.96,"255,100",0.78,25.35%,5.28%,0.15,0.84,36.27%,63.53,14.97%,12.40%,9.20%
378,FOO,FOO Co.,Restaurants,Casual Dining,Canada,102525.28,34.52,0.95,1.13,2.62,31.93,"19,592",3.37,20.57%,22.05%,0.40,0.57,12.00%,51.55,35.05%,21.28%,4.78%
379,FOP,FOP Co.,Restaurants,Pizza,Mexico,1043861.02,27.65,3.42,1.97,1.59,17.49,"290,737",-2.82,8.49%,10.59%,0.33,0.63,78.67%,55.54,62.85%,35.95%,-1.22%
380,FOQ,FOQ Brands,Restaurants,Coffee Shops,Mexico,572114.32,20.59,1.56,1.89,3.82,23.67,"31,301",6.70,-0.39%,8.82%,1.04,0.66,23.68%,37.24,40.01%,19.68%,7.47%
381,FOR,FOR Co.,Restaurants,QSR Burgers,Mexico,194242.74,45.66,0.82,2.10,3.72,26.67,"56,209",4.62,9.92%,24.17%,1.24,0.85,82.23%,68.42,25.65%,25.31%,-9.23%
382,FOS,FOS Brands,Restaurants,Fast Casual,Mexico,2984931.13,16.17,2.49,2.40,1.33,49.17,"182,979",-4.82,-0.55%,8.90%,0.59,0.91,59.56%,37.12,38.11%,32.73%,-4.52%
383,FOT,FOT Foods Inc.,Restaurants,Casual Dining,Mexico,43000194.81,8.89,1.38,5.74,0.82,46.28,"60,444",-1.66,23.14%,9.85%,0.84,0.87,49.38%,58.70,19.90%,31.69%,0.53%
384,FOU,FOU Foods Inc.,Restaurants,Pizza,UK,2098478.84,15.43,2.74,3.47,1.47,74.33,"29,903",8.18,1.74%,-5.15%,0.56,0.78,34.63%,44.09,24.02%,46.25%,-1.60%
385,FOV,FOV Co.,Restaurants,Coffee Shops,UK,758283.37,19.95,0.81,1.01,,26.38,"57,224",1.67,23.57%,-3.35%,0.33,0.20,46.49%,64.34,31.06%,31.28%,6.87%
386,FOW,FOW Co.,Restaurants,QSR Burgers,UK,11919437.33,17.90,1.44,1.44,0.84,23.40,"27,828",0.39,5.64%,-1.01%,0.92,0.78,35.46%,58.62,36.06%,13.57%,8.04%
387,FOX,FOX Foods Inc.,Restaurants,Fast Casual,UK,22363448.24,25.06,,0.84,1.00,28.83,"16,932",-4.06,8.52%,5.84%,0.46,0.20,16.74%,49.97,40.33%,33.12%,12.62%
388,FOY,FOY Brands,Restaurants,Casual Dining,UK,4070419.75,14.73,,1.31,3.39,53.93,"16,860",0.68,7.75%,-2.75%,0.46,0.55,6.28%,57.16,24.16%,31.12%,5.67%
